sample_id	tissue	T2	IFN	repair	distance_to_E1	distance_to_E2	distance_to_E3	assigned_state	nearest_distance	second_nearest_distance	assignment_margin	assignment_confidence
AF050	tracheal	-0.498115034510113	-0.0871166031950706	-0.917389498982183	1.43033399303648	1.33451616765171	3.18957343768693	E2	1.33451616765171	1.43033399303648	0.0958178253847721	low
AF051	nasal	0.180806820742426	0.119085189509829	0.444820100812558	1.19882009321904	1.12064273757369	2.49224881452213	E2	1.12064273757369	1.19882009321904	0.078177355645354	low
AF052	tracheal	0.777115201615795	0.442266854456351	0.27070490455941	1.07683688685728	1.77688156989867	2.35635173290883	E1	1.07683688685728	1.77688156989867	0.700044683041395	standard
AF053	nasal	-0.715164325452567	-0.56237989374734	-1.74134216540755	2.02220898591909	2.15306239792792	4.08078850165453	E1	2.02220898591909	2.15306239792792	0.13085341200883	standard
AF054	tracheal	-0.720467452443466	2.62488100167911	1.60030651484017	3.9349404452705	2.99702020432237	1.02926264428637	E3	1.02926264428637	2.99702020432237	1.967757560036	standard
AF055	nasal	2.25723826585028	-0.865448267235969	0.287785540176387	1.68721019935678	3.26646987752959	4.18987905610616	E1	1.68721019935678	3.26646987752959	1.57925967817281	standard
AF056	tracheal	2.8595030375251	-0.836345886258789	-0.399066121023499	2.09062293559237	3.92015881091667	4.65880973309808	E1	2.09062293559237	3.92015881091667	1.8295358753243	standard
AF057	nasal	-0.450410921375121	0.8838368345835	-0.317648566194648	1.78578024533437	1.2706233043406	2.05459295021821	E2	1.2706233043406	1.78578024533437	0.515156940993776	standard
AF058	tracheal	-0.28594647108385	3.1491612512496	0.524782168434303	3.80660098088618	3.30631253089026	0.667538815922876	E3	0.667538815922876	3.30631253089026	2.63877371496738	standard
AF059	nasal	0.895694844346663	-0.0946043456706193	2.12722669000098	2.58774464502278	2.5375921810147	3.1387357893987	E2	2.5375921810147	2.58774464502278	0.0501524640080868	low
AF060	tracheal	-0.795822555883225	-0.84899241895412	-0.33156769936027	1.69619453866864	1.02577035854087	3.67161223659438	E2	1.02577035854087	1.69619453866864	0.670424180127767	standard
AF061	nasal	-0.968944343160454	-0.609838737713381	-0.203842874558197	1.82672311086509	0.760215851397497	3.45063330718701	E2	0.760215851397497	1.82672311086509	1.06650725946759	standard
AF062	tracheal	-1.00351490917945	-0.0572404328089026	-0.173698857368333	1.87270103620774	0.532236918889549	2.94926812072726	E2	0.532236918889549	1.87270103620774	1.34046411731819	standard
AF063	nasal	1.88981546875374	-0.216389402425259	0.792599692253739	1.64001077522534	2.84293263530498	3.41650424594405	E1	1.64001077522534	2.84293263530498	1.20292186007965	standard
AF064	tracheal	1.6144984304134	-0.0592737978558975	-0.18076298366293	0.886058937659524	2.5855032746403	3.28013133765217	E1	0.886058937659524	2.5855032746403	1.69944433698077	standard
AF065	nasal	-0.739781994117077	0.565641708195965	-0.72099023704201	1.83830350567182	1.26908027755667	2.5985520082195	E2	1.26908027755667	1.83830350567182	0.569223228115153	standard
AF066	tracheal	-0.618433023811548	1.66713940431608	-0.0332803047455458	2.52226246412201	1.824727745423	1.33779172364907	E3	1.33779172364907	1.824727745423	0.486936021773935	standard
AF067	nasal	-0.403417120522714	-0.574529002715925	-1.2115009314587	1.46274570300911	1.71287767386188	3.74527304320238	E1	1.46274570300911	1.71287767386188	0.250131970852774	standard
AF068	tracheal	-0.496347365055212	-0.907897506929866	-1.08909792638923	1.56782728568004	1.70674387310054	3.97853860485182	E1	1.56782728568004	1.70674387310054	0.1389165874205	standard
AF069	nasal	-1.32119517110868	2.14932643920582	0.0410146845801466	3.33736058154967	2.29850474932406	1.50910327462028	E3	1.50910327462028	2.29850474932406	0.789401474703777	standard
AF070	tracheal	-0.583798085991174	-0.450140216468912	0.857089775372644	1.92061261238962	0.703937925938387	3.06455123471264	E2	0.703937925938387	1.92061261238962	1.21667468645124	standard
AF071	nasal	0.95875672787638	2.81468190026651	1.60714105003296	3.78317841127211	3.67995827832804	1.34418010674679	E3	1.34418010674679	3.67995827832804	2.33577817158125	standard
AF072	tracheal	1.32585050025154	0.722263660723204	2.100546486948	2.81199596656059	2.95830107074441	2.66802535405345	E3	2.66802535405345	2.81199596656059	0.143970612507137	standard
AF073	nasal	-1.20817778505531	1.10188844165757	0.165406788363801	2.57729930597183	1.24290810658433	1.95513326950367	E2	1.24290810658433	1.95513326950367	0.712225162919336	standard
AF074	tracheal	-0.124808761142638	0.854004565789168	-2.46296405825631	2.53846021181481	3.07141845544114	3.68240188705933	E1	2.53846021181481	3.07141845544114	0.532958243626326	standard
AF075	nasal	1.46683543369048	-1.032067689327	0.523324784267749	1.34297158330573	2.56717877166302	3.9332303420275	E1	1.34297158330573	2.56717877166302	1.22420718835729	standard
AF076	tracheal	1.31071009032865	-1.01071247730248	1.71700767206973	2.31036728293042	2.7693981241377	3.95435215833075	E1	2.31036728293042	2.7693981241377	0.459030841207282	standard
AF077	nasal	-1.38475473656052	-1.54355958526537	0.960431981210616	2.87374431363897	1.64309997667567	4.32020348364024	E2	1.64309997667567	2.87374431363897	1.2306443369633	standard
AF078	nasal	0.545880840093837	0.0831133754011485	-0.469143305022114	0.524002772273965	1.68464730427127	2.86148507984282	E1	0.524002772273965	1.68464730427127	1.1606445319973	standard
AF079	tracheal	0.0242167506056801	-0.249947472236149	1.13845628180363	1.77833758879542	1.23690792861534	2.84561017613656	E2	1.23690792861534	1.77833758879542	0.541429660180085	standard
AF080	nasal	-0.574689722108784	0.96078335605501	1.39817020888962	2.66509224069725	1.52411481881992	1.79022917785531	E2	1.52411481881992	1.79022917785531	0.266114359035392	standard
AF082	nasal	-0.148740184610529	-0.889896128285865	-0.707705111846005	1.13848434917388	1.53099965370783	3.77452084344144	E1	1.13848434917388	1.53099965370783	0.392515304533947	standard
AF083	tracheal	1.02483788913461	-1.33355690284694	0.298057203521327	1.24142752273886	2.30436515955447	4.0904913967596	E1	1.24142752273886	2.30436515955447	1.0629376368156	standard
AF084	nasal	-1.12231723273083	-0.833667977573757	2.29436837040183	3.39451572375168	2.09118790113132	3.86452515637982	E2	2.09118790113132	3.39451572375168	1.30332782262036	standard
AF085	nasal	0.587757620246508	-0.994779568644163	0.191361933404654	0.929952740152858	1.76090003311378	3.67961153520177	E1	0.929952740152858	1.76090003311378	0.830947292960926	standard
AF086	tracheal	-1.41340348043508	0.435998309343159	0.225125981080357	2.46814332134947	0.736215217162712	2.58010687023068	E2	0.736215217162712	2.46814332134947	1.73192810418676	standard
AF087	nasal	-0.913379984003644	-0.961107123996885	0.0458307633298768	1.90334335873122	0.920910358007374	3.70608275320028	E2	0.920910358007374	1.90334335873122	0.982433000723843	standard
AF088	tracheal	-0.583970279740615	-0.911905888407874	-1.80675615180304	2.03467152987324	2.33119163115533	4.37651814337471	E1	2.03467152987324	2.33119163115533	0.296520101282088	standard
AF089	nasal	1.05671136547204	2.41072337527227	-0.321510662315529	2.78337188334832	3.25648706820072	1.60298190646644	E3	1.60298190646644	2.78337188334832	1.18038997688188	standard
AF090	tracheal	1.24450138190029	0.898980665525139	-0.620675125399951	1.33882849507177	2.56725277031036	2.56214405494873	E1	1.33882849507177	2.56214405494873	1.22331555987696	standard
AF091	nasal	-0.822290325828331	-0.107673840024333	-1.00911282550614	1.75854802012952	1.36250902172161	3.31350999334231	E2	1.36250902172161	1.75854802012952	0.396038998407907	standard
AF092	nasal	1.81786826890747	-0.616496618694416	-1.4764173947385	1.45422632782526	3.3292321748991	4.35181133543735	E1	1.45422632782526	3.3292321748991	1.87500584707384	standard
AF094	tracheal	-1.33691953339677	-0.758244104190769	0.399474292985981	2.35462990800313	0.789840806858477	3.58065385105808	E2	0.789840806858477	2.35462990800313	1.56478910114465	standard
AF096	tracheal	-0.273602901911768	2.26664563063904	-0.617258568866915	2.85218519237722	2.62885848619063	1.45604909280242	E3	1.45604909280242	2.62885848619063	1.17280939338821	standard
AF097	nasal	-0.303343718823706	1.51223422033407	0.175531496430188	2.27237621448267	1.72591000824862	1.24687041354848	E3	1.24687041354848	1.72591000824862	0.479039594700139	standard
AF098	nasal	-0.241667687803824	-0.0269209709164966	-0.0027635319080758	1.20159395533583	0.763588426509375	2.72336956802244	E2	0.763588426509375	1.20159395533583	0.438005528826459	standard
AF099	nasal	-0.617569572843538	-0.776934464365234	0.613972546223949	1.83743894818077	0.792316459768388	3.39662268732934	E2	0.792316459768388	1.83743894818077	1.04512248841238	standard
AF100	tracheal	-0.430627699855745	-1.39082264356762	0.407259989393346	1.83443638060752	1.38770563819251	3.9973286654206	E2	1.38770563819251	1.83443638060752	0.446730742415008	standard
AF101	nasal	0.194059264618721	-1.31093139283104	-0.831399219747414	1.20412829952566	2.02818094619359	4.21893608821425	E1	1.20412829952566	2.02818094619359	0.824052646667923	standard
AF102	tracheal	-0.85289537682377	-0.365044743005324	-0.853871249092984	1.72618795156612	1.23615839994179	3.45482582044569	E2	1.23615839994179	1.72618795156612	0.490029551624328	standard
AF103	nasal	-0.375739864639507	-0.661539867484136	1.95909382353827	2.70461869757439	1.79022408896297	3.45018794547654	E2	1.79022408896297	2.70461869757439	0.914394608611426	standard
AF104	nasal	-0.246866607433922	-0.207975817558614	1.19530467050645	1.96574828406983	1.08406303066532	2.81422616237011	E2	1.08406303066532	1.96574828406983	0.881685253404508	standard
AF105	tracheal	-0.220402043887657	-0.690490080028495	-1.32684612230617	1.40598941841141	1.91151365927038	3.89392403762181	E1	1.40598941841141	1.91151365927038	0.505524240858965	standard
AF106	nasal	-0.0483163480360474	0.806884279710553	0.567954253450305	1.7752145354107	1.26794087511741	1.78043867805464	E2	1.26794087511741	1.7752145354107	0.507273660293295	standard
AF107	tracheal	-1.1724694484325	-0.0637706025513503	0.25415702437953	2.13664741718781	0.275541512964233	2.90299885990253	E2	0.275541512964233	2.13664741718781	1.86110590422358	standard
AF108	tracheal	-0.567945770759491	-0.527541471917856	0.567692928056771	1.73028518764321	0.598376997377916	3.14590926693637	E2	0.598376997377916	1.73028518764321	1.1319081902653	standard
