	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
CLTC-IT1	3.333884338	5.616560153	4.482729162	5.437934822	4.922509434	3.851723327	4.891347885	3.677955484	3.309014977	3.518064509	3.820852077	3.284755473	3.812205837	3.483819038	4.290495382	4.481547567
CLTCL1	3.157799453	3.286888999	3.142623118	3.234525855	3.205592995	3.203159366	3.146044303	3.358254517	3.166473634	3.153561347	3.403237634	3.186283605	3.336713069	3.246113631	4.068179958	3.208937996
CLU	8.929898183	9.917519308	7.574193665	9.410135436	9.319017333	10.0750045	9.816574543	9.336227867	9.102766625	7.203437717	10.15586034	8.886209592	9.823710813	10.33253814	9.194774592	9.948558765
CLUAP1	7.207520802	6.589023352	6.552794494	7.283506479	7.521241984	7.099653073	7.528384249	7.187208484	7.588521378	6.051077505	7.633200259	7.28700062	7.183971441	7.437414929	7.207287239	7.402911916
CLUH	4.546506802	5.194900212	4.819834542	4.691625646	4.865236054	6.056949073	5.023070521	4.907818693	4.815329161	4.787497855	4.896557783	4.739322046	4.855899591	5.105569238	5.272271506	4.838537532
CLUHP3	2.199946605	2.395659334	2.219863475	2.253392333	2.268225208	2.393776623	2.223110953	2.418370526	2.210083636	2.211344371	2.221760327	2.181997109	2.239229495	2.340293276	2.232329296	2.232662543
CLUL1	2.654738276	2.935621086	3.036683262	3.13921983	2.846893771	2.847836502	2.9730421	2.732503513	2.676120661	2.670029019	2.729427253	2.656629923	2.894361871	2.687833131	2.835430818	3.196933651
CMA1	2.402736253	2.595647285	2.52601792	2.574921397	2.484175963	2.447937386	2.655813262	2.433519491	2.395883945	2.401284259	2.409697747	2.397177259	2.454032363	2.416049295	2.464192346	2.669802468
CMAHP	4.493863071	4.39074244	4.101434914	4.733137376	4.4406162	4.024202832	4.197893903	5.266467044	6.556062338	4.303962056	5.145974991	5.043039679	4.294338	5.469142287	4.60383377	5.565832583
CMAS	4.575093717	4.642466479	5.20200766	4.603541119	4.401067873	3.809079688	4.172593576	4.128950706	4.846745155	4.331493284	4.33425113	4.404096383	4.072294163	4.313131209	4.229042723	4.649653136
CMC2	5.616445138	4.30623061	4.935772584	4.382609616	4.901367494	4.661677087	4.865254376	4.927846301	5.114498038	5.755299357	4.690543791	5.48565016	4.877530354	4.886586193	4.948090517	4.484736339
CMC4	5.906798637	5.504332984	4.706097751	5.306132164	5.747737794	5.871069937	6.087612885	5.969295426	6.536926491	5.125668127	5.971386175	5.93938723	6.409155073	6.49378401	6.143946132	5.939879996
CMKLR1	2.774434787	2.914515307	3.68723787	2.898495686	2.842214136	2.834963579	2.906627949	2.780129397	2.828316713	2.81539979	3.012168934	2.747236597	2.846579306	2.793284403	2.830735192	2.85106732
CMPK1	7.402536617	7.395847692	6.718453091	7.561943479	6.942309145	6.118746592	7.140914675	6.994496213	7.185164632	7.307049077	7.101162598	7.038560243	6.824184776	7.094603994	7.154611448	7.487449493
CMTM6	6.940724655	8.14332308	8.108051009	8.330865195	8.335423119	8.05180763	8.036906316	8.538902769	7.443091474	7.965415727	7.443860864	7.91563782	8.275616352	7.511685959	8.146174037	8.342837592
CMTR1	3.204022004	3.432435378	3.804921424	3.116861921	3.270092607	3.593383407	3.323588193	3.244143993	3.323928431	3.717637063	3.471221118	3.296561188	3.243934586	3.307421394	3.299714299	3.056751252
CNBP	8.111660276	8.082060182	7.348271347	8.114113624	7.93375293	7.306472896	8.050737523	8.021932873	8.168744262	8.37088241	8.265054865	8.446218911	8.218556629	8.512864572	7.877046062	8.183992473
CNDP2	9.127019934	8.739547289	9.264602041	8.541798837	8.702767548	7.839482937	8.836864125	8.410242528	8.778261545	8.336353829	8.174174856	8.859344112	8.031911769	8.069158077	8.166063648	7.834752016
CNGA1	2.328178057	2.463989214	2.4768565	2.578433589	2.422557515	2.386481731	2.41849885	2.353747556	2.5423146	2.297562768	2.337812332	2.345762371	2.360024098	2.347321578	2.389089836	2.399058493
CNGA3	2.408015504	2.76710422	2.503636552	2.499843184	2.45350411	2.440343255	2.474955067	2.415915473	2.381735125	2.333826426	2.367359443	2.384394041	2.428610713	2.362113432	2.43314753	2.443580625
CNGB1	2.97376932	3.751488962	4.105666709	3.6834905	3.703859854	3.19878509	3.743159179	3.069072423	2.925244603	2.885311587	3.143354112	3.101999583	3.161114088	2.966087072	3.244160808	3.302588579
CNGB3	3.067407278	3.522121623	3.501064984	3.5138366	3.482259041	3.486579548	3.485756649	3.820694078	3.336155006	3.084741867	3.509223755	3.179315803	3.611053981	3.427239122	3.485636948	3.901639448
CNIH1	6.925154202	6.188890108	6.202917656	5.574020611	6.765988967	5.87517044	5.979977407	6.584792749	6.879238785	7.022011705	7.032818981	6.738624882	7.078963033	6.472214676	6.159406155	5.895816072
CNIH3	2.71147045	3.415234811	3.223811805	3.140904816	3.35536133	2.895211455	3.160486906	2.85493667	2.74277978	2.617864375	2.827434152	2.733902955	2.885665511	2.806750637	2.947185696	3.215304689
CNIH4	6.296712604	6.240178658	6.383094458	6.125213746	5.907713187	5.429645029	6.072926033	6.062063625	6.523022401	6.783947853	6.251449838	6.461604026	6.168967923	5.88086165	6.091197694	6.040893758
CNKSR1	3.854134968	4.421728445	4.073627196	4.212529507	4.428668866	4.64977485	4.743853951	4.903769852	5.311085342	3.847449893	5.510067056	4.370907503	4.25321071	5.124250034	5.018467219	4.418318735
CNKSR2	2.543361456	3.034897564	2.979096471	2.920947947	2.851528087	2.653726945	2.827130761	2.639283327	2.539729605	2.597258716	2.594518507	2.548553434	2.64769253	2.568344553	2.645468843	2.658148749
CNN1	2.747253914	2.811312564	2.786493135	2.800823623	2.760829781	2.760075705	2.766557153	2.731013743	3.12918517	2.707933091	2.715142157	2.760139922	2.727868063	2.737671668	2.759179177	2.757185114
CNN2	5.551504685	5.349890518	4.824195878	4.643542798	5.274576529	5.391121137	5.207798061	5.200682405	5.39266585	5.745581059	5.006816641	5.177040309	5.200130885	5.341688869	5.288920137	5.525433861
CNN3	5.367713654	5.411074589	5.209819605	5.878601353	5.932685964	6.010618156	4.992940998	5.956188536	6.015369356	6.236119139	5.544051668	5.221843276	6.440489744	6.249961608	4.955041683	6.964133057
CNNM1	2.527282899	2.733329259	2.641656343	2.638295179	2.602699481	2.584047487	2.602285187	2.528961259	2.534388942	2.520595959	2.535367226	2.54014978	2.544933651	2.508823749	2.579713436	3.212784119
CNNM2	3.419911533	3.292289037	3.254233186	3.189338574	3.038492421	4.08142252	3.343801811	3.281828004	3.519241537	2.922460615	3.437379356	3.22993486	3.687099899	4.020347337	3.129805152	2.973951262
CNNM3	2.461811988	2.548994731	2.090827941	2.508195209	2.44314203	2.928975813	2.483744136	2.525085302	3.155394396	2.48359294	3.152746148	2.469051921	2.51681795	3.311171467	3.014239772	2.573307531
CNNM4	3.041696614	3.160272585	3.091079754	3.161162257	3.01645897	3.094404371	3.169102959	3.024384758	3.491397918	2.971862934	3.277845705	3.059466332	3.06882962	3.326792097	3.090554834	3.056890129
CNOT1	7.731996218	7.225805964	6.295464225	7.574171637	7.432886658	6.933055158	7.213977531	7.207850033	7.465892478	7.16781787	7.208772259	7.049810169	7.67044491	7.896107264	7.063421953	6.974221982
CNOT2	5.844423592	5.654223219	5.314060311	5.411279534	5.75857025	5.519839672	5.309933209	5.616914462	5.681771911	5.605511403	5.907478257	5.731270712	5.034046393	5.570610158	5.885045853	5.530674472
CNOT3	2.711892177	3.17891419	2.923113969	2.949191992	3.183506531	2.869509236	2.916884244	2.782570922	2.915963526	2.675175707	3.092719355	2.797037534	2.764954761	3.719451747	2.920956752	2.912860466
CNOT4	3.653521294	4.581441284	4.368578089	4.957681291	4.39040134	3.824864656	4.145905452	3.737714732	3.540666175	3.478387968	3.741370252	3.519439925	3.79086858	3.688886957	3.842755432	4.350267375
CNOT6	4.324734036	4.486976826	4.767569674	4.312495308	4.479702314	4.057481831	4.639226598	4.271110401	4.267720618	4.461190471	4.258979342	4.446075812	4.267948241	4.25747609	4.350959702	4.280265668
CNOT7	5.861090867	6.583714147	6.153981596	6.173373442	6.241010739	6.346144807	6.218312019	6.276747517	5.843162223	6.56301069	6.051921186	6.115646849	6.459017232	6.289298508	6.240385741	6.055953396
CNOT8	4.170201017	5.038826726	4.621531472	4.907403454	4.881686426	4.164931145	4.697488042	3.807155015	4.05939596	4.338729925	4.286970482	4.121976581	4.120618819	3.875699683	4.251187649	4.422762068
CNP	4.544688619	4.527496256	6.735343674	3.920912209	4.763024276	5.335206688	4.693483589	4.704343113	5.002798965	5.984980408	4.551911279	4.535586139	4.572668343	4.643013032	4.656048432	4.670421828
CNPPD1	4.285096106	3.50020636	3.541180496	3.841762488	3.73552142	3.57114967	3.416473917	3.373083648	3.579681419	3.888384824	3.727448162	3.513944642	3.491551367	3.808152413	3.390706243	3.312841814
CNPY2	6.211076018	5.789334865	5.703392716	4.641173806	4.458924624	5.691700827	4.444762129	5.739188023	6.43075963	6.561463412	4.929731181	6.388351258	5.637580223	5.998885	5.372866115	4.866514163
CNPY3	5.896101167	5.415045581	5.235542983	5.496765598	4.816396348	6.036995578	5.670166951	5.298837707	6.172726152	4.726356143	5.626165265	5.377181094	4.998862713	5.716174072	5.956136974	5.399741559
CNPY4	2.668544694	3.130017254	3.106758927	3.535688016	2.931715397	2.856417311	3.020103305	2.789483842	2.753193261	2.639768826	2.793640245	2.795550349	2.811450922	2.791474082	3.129237899	2.906112852
CNR1	2.522203818	2.97962394	2.712956832	2.762016864	2.662729111	2.59910866	2.673730897	2.556952916	2.501821683	2.475879277	2.540673238	2.528661933	2.58521595	2.547148928	2.618207341	2.617144147
CNR2	2.496466187	2.542061657	2.67068089	2.53388064	2.499241573	2.520047782	2.495281304	2.499196623	2.405224433	2.480391072	2.49092686	2.49123966	2.506270317	2.455708648	2.504074206	2.499677617
CNTD2	2.193422173	2.232913266	2.22217585	2.226182203	2.210792505	2.490451699	2.211107922	2.312776975	2.214400572	2.190717512	2.190868761	2.195310349	2.219820895	2.214539375	2.225965925	2.455937273
CNTF	1.978020017	2.031420661	2.015325391	2.023533602	1.998394953	2.003523007	2.002813356	1.991453154	1.991556669	1.974510565	1.975846299	1.995569876	2.005843568	1.996197372	2.000566361	2.005423586
CNTFR	2.21960329	2.328117671	2.270256708	2.25928221	2.256731914	2.837551596	2.259552839	2.24347889	2.230943207	2.24342377	2.228598192	2.30006653	2.260724971	2.264642295	2.262714404	2.272942368
CNTLN	2.152370566	2.196591007	2.221929624	2.250322592	2.190056265	2.125841941	2.2018163	2.08515253	2.096191138	2.02951734	2.096311174	2.05775742	2.115222696	2.06685836	2.122061041	2.201778235
CNTN1	2.348099076	2.528180756	2.539051173	2.61994946	2.438542281	2.400342835	2.472271098	2.366726705	2.354504387	2.330778913	2.353173577	2.345860286	2.386040669	2.355810681	2.399605967	2.412854452
CNTN2	2.464851148	2.6127318	2.611763326	2.848528782	2.575983407	2.526518806	2.662479167	2.523011652	2.395579524	2.444743722	2.510846594	2.393316747	2.534087341	2.527539964	2.558629947	2.518776243
CNTN5	2.684519438	2.991818238	2.91385962	3.032786657	2.862295961	2.738594481	2.854376979	2.701314518	2.67637877	2.612826461	2.672380174	2.721793844	2.727049763	2.671634421	2.847940062	2.733395051
CNTN6	3.127706802	3.71939378	3.832964644	3.655731314	3.608132713	3.441633042	3.588856072	3.273365818	3.213097962	3.220986745	3.289748691	3.256232292	3.358911046	3.152354866	3.41559638	3.426249532
CNTNAP1	2.356350329	2.382844653	2.375250411	2.413116408	2.338149566	2.611490673	2.361986407	2.356826131	2.350897873	2.30765866	2.335494186	2.356953754	2.433640749	2.815449288	2.500248789	2.296380284
CNTNAP2	3.335461555	3.572527725	3.819387741	3.649051047	3.571145979	3.457152749	3.563302235	3.395786487	3.354106223	3.132294464	3.412498979	3.417179418	3.446564951	3.424523145	3.607354119	3.733781132
CNTNAP3P2	2.604435228	2.974232097	2.795236399	2.840632847	2.971019969	2.692958744	2.996113546	2.631466419	2.585267008	2.552358619	2.62533228	2.579919332	2.666542555	2.590793301	2.694510153	2.736629272
CNTRL	5.444384771	5.444218469	4.280328354	5.545469819	4.979357064	4.661218212	5.169767739	4.939512646	5.028881984	4.234343345	5.213355435	5.147862081	5.030212774	5.142023752	5.024050985	5.025429576
COA1	3.539105001	3.535868745	2.401240426	3.537930482	3.922626354	3.240461454	3.499580875	3.275956381	4.244398634	3.646588391	3.565158243	3.474625099	4.116493324	3.48657233	3.458746731	3.495065977
COA3	7.945493602	7.143965794	6.814235222	8.001367454	7.994323353	7.802830167	8.438596737	8.46412697	8.291172133	7.628985127	8.300238372	8.201493012	8.327903203	8.098159959	8.38058705	8.095639005
COA4	5.576092392	5.789678204	5.52444296	5.328937214	5.77387172	5.766780088	5.637003934	5.600985608	5.457751619	5.831678242	5.583756741	5.484801349	5.618429223	5.650473448	5.627218131	5.574918389
COA7	2.521769149	2.561703997	2.57985691	2.554388039	2.54443336	2.689687103	2.548526211	2.53492165	2.456413967	2.462351144	2.627097039	2.562070578	2.555063034	2.602704778	2.726120945	2.561847253
COASY	5.884845359	6.012867595	5.640868989	6.005789899	5.994463435	6.287183901	6.827039252	5.984198366	6.002786525	5.447097474	6.261676535	5.825936494	6.122762714	6.053725828	6.16114553	5.227790249
COBL	5.635941318	5.783211966	5.537091358	5.903086629	5.780862334	6.083150926	6.727047828	5.859176962	6.127123741	4.540195023	6.133450612	6.144470078	6.066119402	6.524033266	5.787099472	5.005913614
COBLL1	3.625109555	3.891619352	3.991201288	3.994352856	3.960028638	4.073098397	3.904901055	3.508223206	3.430852729	3.833219857	3.523905754	3.10092451	3.619033285	3.49912657	3.8815942	3.808943618
COCH	2.375095719	2.547667911	2.656771886	2.550715619	2.540919302	2.447345549	2.523203084	2.404228926	2.382031189	2.411024624	2.3900883	2.392242931	2.435493235	2.39947371	2.447161234	2.44717077
COG2	3.777594938	3.020503895	2.528435143	2.767754707	3.271771533	3.145321849	3.436752813	3.844505686	3.696876119	3.400587321	3.381974693	3.356830534	3.347342261	3.261816825	2.816314846	2.634447428
COG4	3.766000974	3.835370513	3.600905788	3.786605832	3.745691731	3.94190316	3.4930031	4.33773984	3.814209229	3.763364601	3.79495137	3.736942442	3.749080721	3.781265565	4.829973023	3.58763436
COG5	4.213535878	4.263584936	4.627889819	4.183499726	4.430275011	3.931803594	4.262755552	3.947768404	4.29854466	3.883704156	3.940843347	3.900139329	3.989580267	3.921630862	4.023083831	4.067982199
COG7	4.991391233	4.363255903	3.509291244	3.955625442	4.876418735	4.812108445	5.513072889	5.11020742	5.672806979	4.340619182	5.066079618	4.392437503	5.103612306	5.570484484	5.143789725	3.640117655
COIL	4.210901015	5.084516973	5.285663989	4.846584254	4.999220943	4.274192536	4.215170265	4.235207539	4.175013896	4.710792638	4.428871362	4.472996608	4.320031633	4.393680011	4.31859426	4.333021121
COL10A1	3.515224082	3.992644754	4.400334893	3.95595507	3.801079689	3.646660447	3.919751805	3.617751754	3.526504588	3.490376051	3.603180451	3.411089696	3.626961213	3.542660158	3.64460614	3.69460641
COL11A1	2.461694545	2.754221243	2.687140966	2.874063802	2.732141094	2.551238705	2.808344186	2.521333143	2.468595223	2.448013893	2.507798937	2.469890829	2.545682289	2.484929974	2.564316583	2.603702417
COL11A2	3.092175291	3.114784163	2.771871647	3.017160773	2.962451948	3.434329387	3.084788276	3.211659891	3.084166231	3.1054044	3.080550837	3.128803588	3.450757838	3.338889352	3.266326434	3.110848337
COL13A1	2.859485385	3.246758417	3.480750686	3.488870248	3.254272771	2.970075967	3.099114541	2.914290012	2.802387978	2.787749128	2.993915366	2.831787313	3.181253667	2.745835489	3.084009419	3.051563499
COL14A1	3.030495134	3.536886002	3.330251019	3.952605089	3.208896013	3.121292937	3.263828634	3.095429867	3.052681248	2.892076899	3.089089958	3.089835972	3.080495095	2.855141368	3.184216502	3.402403828
COL15A1	2.444816223	2.770950149	2.845307746	2.791742614	2.620819643	2.531498382	2.646155616	2.493458297	2.451762797	2.429589027	2.489260567	2.452105065	2.522151258	2.467138508	2.529342851	2.549877827
COL16A1	3.537267602	3.63360493	4.19320167	3.885784918	4.174412626	4.72266485	4.579058653	4.516586943	4.368054819	3.063362211	4.318658177	4.136445878	3.736303228	4.322078102	4.176340816	4.159132941
COL17A1	2.199658334	2.307031556	2.309542656	2.625183914	2.255663283	2.226592844	2.237852419	2.221960924	2.208407488	2.210717314	2.204444935	2.219560882	2.228971458	2.222797807	2.229336362	2.244427196
COL18A1	2.514130337	2.689406531	2.567117597	2.574459435	2.624151139	2.599865554	2.63992766	2.541987216	2.520720526	2.647977865	2.591360336	2.508875705	2.483547364	2.561129521	2.592103973	2.572613774
COL19A1	2.331049822	2.480457334	2.592765154	2.692147884	2.507704344	2.349367164	2.517084974	2.305790489	2.277704547	2.335206252	2.325786417	2.31852622	2.343301901	2.301338765	2.351524325	2.365271705
COL1A1	5.073333806	6.152630983	5.031281954	4.734184106	5.117852155	5.626161711	5.549761077	5.230491887	5.29237333	5.048068734	5.431101804	4.961269703	4.884759903	5.13581735	5.211505785	5.372068027
COL1A2	2.576223302	2.949436492	2.860190072	2.999139685	2.954868463	2.678319583	2.800467419	2.618231231	2.573742771	2.559227892	2.621077892	2.638284049	2.668746943	2.591370566	2.696028611	2.698012414
COL21A1	4.001543925	3.400531473	2.980236085	4.637426845	4.834511906	3.807871858	4.150889486	4.326647546	4.731059344	3.297911913	5.054680046	4.900866931	4.36707613	4.747829425	3.82495143	4.911379066
COL2A1	2.470466107	2.810553518	2.838663902	2.725665269	2.755131188	2.587048994	2.647016585	2.549891066	2.522240135	2.459863352	2.533977252	2.482226539	2.568369752	2.495129538	2.576843365	2.587592774
COL3A1	2.972245708	3.365483617	3.253191752	3.331693141	3.225334815	3.157253591	3.230597036	3.064843317	3.023496802	2.950595523	3.063851318	2.950090835	3.121732857	3.040034769	3.35800094	3.464002208
COL4A1	2.740198545	2.777878345	2.688197547	2.706404849	2.671097075	2.723732258	2.714378618	2.597475324	2.649040083	2.761387848	2.661586699	2.607612213	2.661932715	2.614881916	2.630736991	2.958862315
COL4A2	2.426181469	2.635597348	2.612049569	2.612413172	2.538143354	2.480195598	2.50959733	2.450951564	2.433082198	2.417743389	2.435549357	2.455011027	2.465309714	2.447775652	2.614291783	2.49258419
COL4A3	3.016067028	3.745075176	3.686211213	3.584730206	3.494850752	3.208170282	3.423461526	3.070054633	3.024116445	2.98094795	3.170220814	2.910381723	3.19015503	3.065849263	3.282994243	3.503187802
COL4A3BP	3.426880895	5.1875501	5.624603112	4.343173631	5.034196901	4.327029419	4.475532965	4.67838635	3.325557901	4.989763177	4.19147441	3.2541718	4.496756221	3.789979357	4.327387089	4.297072177
COL4A4	2.295597975	2.423045857	2.750672693	2.47470893	2.511174566	2.381828756	2.456051947	2.369670173	2.319710381	2.304336676	2.325934088	2.303098413	2.370550969	2.334159437	2.37447157	2.38323521
COL4A5	3.270464998	3.531537965	3.498681603	3.532768585	3.478214613	4.017528452	3.609513625	3.43538955	3.355409489	2.95425901	3.414220311	3.361672349	3.5166001	3.963596242	3.391207441	3.511049066
COL4A6	2.408123915	3.104323596	2.881740734	2.54685501	2.546966605	2.480243979	2.507917292	2.446741627	2.416395159	2.44929586	2.426461937	2.439162067	2.480808478	2.428613882	2.479171311	2.587991323
COL5A1	2.807620547	3.768154318	3.517094727	4.05622813	3.385004644	3.079126984	3.936469393	3.031471346	3.00112367	2.762780579	3.017575114	3.001980172	2.89634112	2.931365839	3.134906779	3.181490105
COL5A2	2.658223743	3.102418434	2.944013846	3.059031862	2.957517358	2.766499778	2.803148671	2.808660846	2.636390755	2.520575011	2.7291326	2.666887221	2.698985196	2.656513505	2.75952899	2.757587214
COL5A3	2.771605343	2.828562275	2.765822716	2.794409979	2.762950861	2.829000406	3.140659322	2.775695961	2.539954627	2.542659336	2.622616563	2.63675829	2.782800666	2.542691731	2.892423382	2.896868429
COL6A1	2.651332836	2.943328573	2.8834092	2.912536009	2.854310425	2.993824465	2.79566191	2.738857046	2.717385369	2.786806128	2.926334327	2.740177137	2.775950461	2.791696728	2.825297635	2.784776039
COL6A2	3.093299702	3.182962661	3.391715028	3.377435392	3.156148944	3.111785415	3.196407304	3.038439875	3.026968762	3.077396841	3.152454096	3.313605467	3.226532336	3.170242364	3.220317453	3.16611805
COL6A3	2.387451894	2.609904585	2.479200501	2.527436703	2.458611745	2.486690429	2.506182727	2.4030501	2.394467837	2.383798105	2.387004625	2.391619423	2.422027263	2.410216094	2.427773268	2.42143991
COL7A1	3.1649351	2.776774591	3.243125082	3.202651415	3.190938595	4.294705459	3.208878491	3.162208296	3.168985356	3.007123664	3.174706935	3.173423798	3.178338084	3.698939946	4.580305268	3.462970194
COL8A1	2.781561365	3.649355591	3.463323361	3.570308674	3.350635603	3.01363551	3.276967921	2.88691804	2.797425133	2.871488163	2.931682523	2.901442722	2.973307908	2.917079772	3.061526296	3.288726515
COL8A2	3.921638952	3.654436773	3.471141755	3.578505941	3.551724072	3.576502048	3.557678424	3.564651375	3.096396756	3.554243035	3.302541073	3.563673685	3.565487679	3.389104518	3.54983071	3.625548651
COL9A1	2.363202008	2.476813666	2.464408392	2.476409343	2.427916418	2.429296374	2.473048732	2.413093842	2.364140854	2.350555354	2.401714365	2.365626119	2.431019194	2.409413976	2.425229589	2.433809259
COL9A2	2.161413543	2.466772622	2.214911712	2.274044457	2.226241991	2.425851469	2.246081896	2.302414243	2.963201145	2.16441066	2.553833617	2.484909548	2.26958364	3.511115926	2.227188102	2.177487715
COL9A3	2.569232506	2.680815588	2.612732141	2.670055405	2.596271392	2.577502805	2.66567939	2.551122736	2.548686318	2.43834526	2.513898403	2.554346135	2.593175031	2.559852085	2.577102496	2.583174679
COLEC10	2.179002127	2.243783045	2.243577392	2.259557874	2.224912308	2.206974987	2.212232777	2.185501839	2.185374513	2.159819656	2.185479992	2.178316337	2.20356285	2.193952677	2.206416383	2.212032066
COLEC11	2.417360512	2.529431974	2.445121648	2.475974032	2.442094918	2.432248651	2.496340107	2.408781846	2.395064519	2.378930695	2.412700746	2.340855159	2.434429106	2.40980174	2.42778735	2.436882193
COLEC12	4.40668419	3.033238617	2.87506064	2.93325216	2.759391689	2.732044193	2.811814533	2.684593119	2.599364968	3.42767858	2.696892454	4.318524728	2.797217209	2.686057898	2.812910671	2.763630827
COLGALT1	6.31538167	3.861291638	3.049872554	2.592215263	4.407643938	4.352077399	3.479393441	5.065211192	4.390036021	5.851399383	4.330043253	5.597190124	4.355351551	3.997773222	4.80011974	3.993418911
COLGALT2	2.464234291	2.502011561	2.547341424	2.570937016	2.523077781	2.492304228	2.472302256	2.488525834	2.487551375	2.511934756	2.426397916	2.417523177	2.498026886	2.459920411	2.49747399	2.485114806
COLQ	2.286462722	2.446245045	2.397285817	2.417016654	2.377758119	2.344677364	2.349099742	2.316123064	2.293762378	2.277463286	2.306933044	2.305042798	2.334259438	2.305557703	2.339329941	2.349734389
COMMD10	3.499893859	2.524616476	2.523561397	2.396161471	2.458217617	2.349317302	2.452105065	3.374993748	2.503383343	3.411088698	2.779719742	3.281640692	3.063444403	2.739179993	2.502198015	2.657802396
COMMD3	6.238589183	5.341639221	6.50882233	7.22502057	6.903615196	5.633012463	6.980303421	6.599971812	7.039841207	6.225195104	6.81479458	6.958334209	7.125340995	6.748788403	6.507307219	6.548513397
COMMD4	5.244093825	4.862268495	4.652301899	5.286241057	5.719180332	5.01873114	6.195416457	5.290794428	5.507682043	5.575707439	5.27228554	5.088733426	5.200739083	5.273717818	5.210174742	5.210937018
COMMD8	5.16007459	4.161903163	4.977577296	5.009438689	5.064064976	4.422071686	4.882684368	5.06394008	4.948112281	5.11509265	4.802367579	5.475481866	5.530524971	4.348985071	4.699795966	5.392205299
COMMD9	5.078607069	3.525329892	3.890246319	3.775319739	3.689208735	4.08940288	3.355101416	3.861881567	4.233408957	4.687564485	4.109413169	4.32372892	3.797350127	3.858274495	4.089546128	3.645478809
COMP	2.578684958	2.773741295	2.69295883	2.936908817	2.673413258	2.637021389	2.670659136	2.595694119	2.5867482	2.552221668	2.579335177	2.589305452	2.625394492	2.614834359	2.623552767	2.648607669
COMT	8.124009485	6.734911302	6.695651923	7.312360529	7.113233685	7.884318842	7.578431989	7.69678098	7.598802773	7.666726419	7.640713488	7.830422929	8.086301288	8.083755263	7.371293658	7.239144852
COPA	5.830192808	4.099687795	3.611278922	3.693088048	3.554582908	5.694624636	3.728213444	5.784780728	5.495761503	5.774854651	4.986499793	4.992544373	5.926931936	5.254647504	5.508224324	4.97211851
COPB1	8.798936762	8.219593261	9.350448662	8.963034156	8.656639896	8.818745988	8.743483466	8.964645196	8.407954563	8.966839569	8.589224539	8.555936524	8.998746821	8.468998512	8.281845754	8.895762877
COPB2	7.511258586	7.950364009	7.006407738	7.107600284	7.550227081	6.56848963	6.881202231	7.203241021	7.693179624	7.523073649	7.045140078	7.252496393	7.514866985	7.289444659	7.187864614	7.203021126
COPE	5.711642072	5.741972973	5.386883366	5.733897425	5.945163245	5.709925821	6.491708428	4.860661938	6.717488842	5.540249962	6.035202575	5.716228791	5.197261078	6.126985767	5.574111862	5.602751671
COPG1	6.504985559	6.480469649	6.379843016	6.218792943	6.406534551	6.862587478	6.876112063	6.597672128	6.917967567	6.362412814	6.145343771	6.178468047	6.43553025	6.695420612	6.532470673	6.359541287
COPG2IT1	2.525471742	2.645448659	2.650338219	2.628693383	2.592419716	2.565541537	2.608527995	2.541157955	2.519087661	2.456883054	2.400029589	2.541957209	2.556186689	2.503081182	2.571772784	2.836500737
COPS2	6.051714693	5.0156191	5.983958128	5.368242891	5.545219588	5.457231275	4.754591038	5.818385531	6.295136699	6.561443302	5.811779937	6.208357737	5.959011812	5.905028563	5.567411718	6.245306751
COPS3	4.786866371	5.031027387	3.960777018	4.973308177	4.791391759	4.236175292	4.652365573	5.002582181	5.316513303	5.181544619	5.114225142	4.906639003	4.791876836	5.3850938	4.708222439	4.838783259
COPS4	5.988127416	5.295349618	5.659856631	5.811846213	6.00691669	4.801392334	5.713081255	5.681683288	6.283118892	6.029128763	5.589397993	5.877818121	5.402031225	5.731068095	5.156140689	5.505425844
COPS5	6.659395251	6.19849772	6.154948733	6.178462334	6.677122784	5.108496203	6.426463785	6.298327716	6.788563932	6.990662887	6.207928305	6.613931731	6.327149781	6.293793012	6.327721973	6.167032031
COPS6	6.313507347	6.537139601	3.90445255	5.932156397	6.365651909	6.163107588	6.777286748	6.42221662	6.657689276	5.879479108	6.469540182	6.397915753	6.569638769	6.339453447	6.462519459	6.289793086
COPS7A	4.401923535	2.737677462	2.809003614	2.969748355	2.764960192	3.291733665	2.690477952	3.039261013	3.872310673	3.119487718	3.394705233	2.706770553	3.083645108	3.960496404	3.003216275	3.474184657
COPS7B	2.413181772	2.395569908	2.47411164	2.499414486	2.440477525	2.722398802	2.448552941	2.435839196	2.578000116	2.429227781	2.709144728	2.583177371	2.441108325	2.712119942	2.433305318	2.440291784
COPS8	6.183761474	5.294462377	6.331173977	6.371838076	6.573198876	6.383110687	6.284550993	6.384442129	6.111147169	6.201781134	6.698331548	6.334975966	6.583260853	6.113831449	6.342165036	5.911089463
COPZ1	5.599815945	4.938721061	3.990684384	4.128076026	5.501016296	5.999392638	5.451741294	5.491837799	6.377692001	5.515970058	5.344204168	5.464612008	5.573768087	6.285825882	5.310082186	4.987254463
COPZ2	2.639209251	2.594710011	2.534819645	2.562400841	2.529399509	2.94300865	2.531455202	2.52159796	2.537319159	2.526622488	2.50697999	2.53955511	2.539819183	2.537726347	2.542044017	2.550615309
