	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
RASSF2	3.008908565	3.516279622	2.811268666	2.796425621	2.778754523	2.367263004	2.700741814	2.394229855	3.019250093	4.77762374	2.776271665	4.042426573	2.697815935	2.693997267	2.868008204	2.872019424
RASSF4	2.560749814	2.691087923	2.881415589	2.67828774	2.627940866	2.590905615	3.009972135	2.560225416	2.547696278	2.61255956	2.558726365	2.564350629	2.582861369	2.566886696	2.591858691	2.593580121
RASSF7	2.706616441	3.354112422	2.731598906	2.81393225	3.184304497	4.704979785	3.611092992	3.775918672	3.916934076	3.508701367	4.552826983	3.333138992	3.690581769	4.021951856	5.262623556	3.340595445
RASSF8	2.535372174	2.782090416	2.929946718	2.892175837	2.796763025	2.579183402	2.787191252	2.531998875	2.465751379	2.471281527	2.547391187	2.545771608	2.569322643	2.511472984	2.611149036	2.659540474
RASSF9	2.882415533	3.013559843	3.20497294	3.109174361	3.163817898	2.988005512	3.089631786	2.932152834	2.933894633	2.943100546	2.935303162	2.947102148	3.798353699	2.908598596	2.510259317	4.091830584
RAVER2	2.353324685	2.535872412	2.492098166	2.542263992	2.493504409	2.421668845	2.485047444	2.396360974	2.379091579	2.33787694	2.36605314	2.361722468	2.420162073	2.39656507	2.419930853	2.423447528
RAX	2.361394336	2.548605518	2.474065754	2.522943499	2.440664351	2.432547917	2.471685282	2.387184874	2.359765834	2.339876083	2.415520454	2.407037394	2.417977601	2.428163195	2.411025311	2.471185137
RB1	5.086761804	4.74749076	4.905020863	4.666717824	4.544610409	4.375773711	4.301386816	4.342722672	4.205935698	5.248906974	4.353058113	4.742806844	4.312581004	4.016568168	4.362756064	4.566121578
RB1CC1	5.734652763	6.092867516	5.882044895	6.11442858	5.724322144	5.098113895	5.743378723	5.21893178	5.196653294	4.78268	5.299981231	5.443807333	5.311882445	4.915840772	5.325692606	5.700027107
RBBP4	6.305845513	5.601428118	5.872535715	5.96528483	6.328258866	5.895741008	6.338172299	6.351839671	6.596030164	6.960646093	6.27187789	6.343125003	6.292599529	6.321142606	6.255166556	7.086481843
