"sample_id","repair_ECM_resid"
"HR1668",2.30709358842253
"HR1669",0.16850563641265
"HR1670",-1.89676358228109
"HR1671",-0.261790374170324
"HR1672",0.682395220552822
"HR1673",0.0434587768238038
"HR1674",-0.90906379865835
"HR1675",1.99608126364441
"HR1676",0.770536383836986
"HR1677",-0.250292014232834
"HR1678",1.17709428591253
"HR1679",-1.24903346923538
"HR1680",1.69252847825192
"HR1681",0.360589720458511
"HR1682",-0.792984280628004
"HR1683",1.93124302835303
"HR1684",2.4395693114155
"HR1686",0.752932724411812
"HR1687",0.226304629443485
"HR1688",1.22561101007231
"HR1689",0.517914500462547
"HR1690",-1.40087483635419
"HR1691",0.427178571733954
"HR1692",-0.0101116684139338
"HR1693",1.75264465491748
"HR1695",-0.870354648676619
"HR1696",0.611461840531985
"HR1697",0.0347648751063753
"HR1698",-0.773009157829381
"HR1699",-0.404176751573304
"HR1700",-0.502395541452808
"HR1701",0.903045909019776
"HR1702",0.0405087069500427
"HR1703",1.85814220636476
"HR1704",-0.859571812592589
"HR1705",-0.527708983441039
"HR1706",-0.542026863235974
"HR1707",0.155710342374577
"HR1708",0.333625846721614
"HR1709",0.175622240350431
"HR1711",-0.320908855868176
"HR1712",-1.13542957005004
"HR1713",0.183035834429377
"HR1714",-1.15571332426096
"HR1715",-0.053659121038434
"HR1716",0.984884658824545
"HR1717",-1.01246874444385
"HR1718",1.65618312840522
"HR1719",1.83504671596645
"HR1720",1.06752224232751
"HR1721",2.95600472119973
"HR1722",1.42033699510351
"HR1723",0.54897705872228
"HR1724",-0.600380565606511
"HR1725",0.555672570279169
"HR1726",-0.38939161760669
"HR1727",0.184668785921844
"HR1728",-0.0109288935586492
"HR1729",0.476374905512991
"HR1730",1.27653753625724
"HR1731",1.39082321885966
"HR1732",-0.978860707931227
"HR1733",0.169275256103664
"HR1734",-1.49949727951788
"HR1735",-1.26955749345873
"HR1736",-0.590606669157245
"HR1737",0.220870412501962
"HR1738",0.310327627563693
"HR1739",1.44517613140387
"HR1740",0.350274134788798
"HR1741",-0.227443674408376
"HR1742",-0.122542111405585
"HR1743",0.311978967879103
"HR1744",0.196508597160034
"HR1745",0.39314618562836
"HR1746",-0.0942639327298681
"HR1747",-0.984576984205637
"HR1748",-0.298693627457517
"HR1749",-1.68961400171338
"HR1750",-1.14539576013247
"HR1751",1.64453435080318
"HR1752",-1.31357896666639
"HR1753",1.37002708053663
"HR1755",0.722963215424603
"HR1756",0.00444800523415485
"HR1757",0.539860224816983
"HR1758",-0.0882453472567931
"HR1759",-0.892216202730537
"HR1760",-0.112738184548825
"HR1761",-0.21600561793268
"HR1762",-0.883572196820664
"HR1763",-0.39191257370867
"HR1764",0.173497515900426
"HR1765",-1.27961340228594
"HR1766",0.267481796699304
"HR1767",0.0154866000927164
"HR1768",-0.186277858949484
"HR1769",0.0117916233354757
"HR1770",-0.677506587743243
"HR1771",-1.32570414122182
"HR1772",-0.405291983046867
"HR1773",0.262632009615037
"HR1774",1.09270950630185
"HR1775",0.0639235838870339
"HR1776",-0.316129066576595
"HR1777",-0.527484000306662
"HR1778",0.315843496509517
"HR1779",0.342424247846283
"HR1780",-0.686886613433093
"HR1781",-0.210204448805891
"HR1782",1.42790299323628
"HR1783",2.28506947819878
"HR1784",0.547472797010787
"HR1785",1.49224626400636
"HR1786",-0.38095773473262
"HR1787",0.912429803645977
"HR1788",1.12614491198092
"HR1789",0.492090836764115
"HR1790",-1.40959982428988
"HR1791",0.955145315493849
"HR1792",-0.197593470852871
"HR1793",-1.25578577907974
"HR1794",-0.309863998383916
"HR1795",-1.0898638400172
"HR1796",0.308793922434206
"HR1798",-0.551669288463235
"HR1799",-0.604911471248505
"HR1800",-1.47427520196023
"HR1801",-0.876013895283815
"HR1802",0.677717810292003
"HR1804",2.58518789642111
"HR1805",0.655665656884187
"HR1806",0.777974073297686
"HR1807",0.0630767105047555
"HR1808",1.50864267268769
