"sample_id","state_label","T2_z","IFN_z","repair_ECM_z"
"HR1248","E1_T2_high_IFN_low",0.759441904427095,-0.208531452910489,-1.32971406783488
"HR1250","E2_T2_low",-0.241237046637953,-0.177528466036522,-0.118355936019144
"HR1252","E1_T2_high_IFN_low",1.76635099238413,-0.587732512603435,-0.900569174009468
"HR1259","E1_T2_high_IFN_low",1.65732887156144,-0.595218197835571,-0.79362308613123
"HR1260","E1_T2_high_IFN_low",0.937114644694069,-0.621047322729837,-1.81015401827239
"HR1262","E1_T2_high_IFN_low",2.0250888973681,-0.474730640314583,-0.421678016098032
"HR1269","E1_T2_high_IFN_low",0.452041615060668,0.91166289983031,-0.361711274393874
"HR1272","E2_T2_low",-0.699619326208077,-0.692966516571481,0.688239268715897
"HR1273","E1_T2_high_IFN_low",1.46988607775965,-0.708498576197186,-0.686911577361915
"HR1277","E2_T2_low",-1.01537193096487,0.0957993640012784,0.337658107809651
"HR1283","E2_T2_low",-0.420511802831602,-0.190659110285788,-0.559996214023595
"HR1286","E2_T2_low",-1.27849672226299,-0.575943383828468,0.587706334521066
"HR1287","E2_T2_low",-1.19677605382421,-0.556585795545973,-0.281753075976009
"HR1288","E1_T2_high_IFN_low",0.217066995398216,0.152322855640507,-0.343533252343224
"HR1289","E1_T2_high_IFN_low",0.23984626053888,-0.222464132343178,-1.26768318167522
"HR1292","E1_T2_high_IFN_low",1.07382052795309,0.171136765513257,0.608604695312315
"HR1295","E1_T2_high_IFN_low",0.350151922067326,-0.439149078025201,-0.454598700904984
"HR1298","E2_T2_low",-1.43120870546453,0.199773933393817,-1.20377351668066
"HR1300","E1_T2_high_IFN_low",0.920270820981269,-0.238563624458044,-1.03093351190896
"HR1302","E1_T2_high_IFN_low",0.674448038356878,-0.880702191014106,1.43025907267501
"HR1308","E1_T2_high_IFN_low",0.96034918051782,-0.451004342073747,-1.00588886421789
"HR1309","E2_T2_low",0.0896022368557887,1.01297946511146,0.128980340120589
"HR1310","E2_T2_low",-1.37039532738194,0.502273090027526,0.851933074826162
"HR1315","E2_T2_low",-1.07242551066956,0.509053583578322,1.22376085651798
"HR1316","E1_T2_high_IFN_low",1.28647473745303,-0.871309105431912,-0.414656954489589
"HR1319","E1_T2_high_IFN_low",0.415067541179287,0.210031100496508,-1.36456795727501
"HR1320","E1_T2_high_IFN_low",1.71343195454263,-0.655985014597025,0.082277251997302
"HR1363","E2_T2_low",-0.867704177895456,-0.108189072036056,-0.42525132347855
"HR1365","E1_T2_high_IFN_low",0.536196703860849,-0.514396703368318,0.944928103556889
