sample_id,tissue,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AF065,nasal,10.204565576755284,0.25968670180133663,16.301035898637046,-4.7527893299641475,3.4630009227477183,-8.839923385581798,-1.8348134837277097,1.3323481001560018,3.519639129440244,-6.899425095173383
AF067,nasal,-41.394035749441045,15.245135363012112,10.852231718761823,0.7757420428620239,2.006232613712685,1.5924172479008722,-0.41386011938091677,2.8928191496414297,0.8393559338046964,0.6345384063782842
AF069,nasal,16.453317632941307,20.494493411899043,16.286466329067814,9.280250217797468,-4.569792639548141,8.669651673080187,4.1738119354941725,0.003677531264278168,10.76835004183141,11.454737393300258
AF071,nasal,17.730446346152466,-8.468832901775052,-2.7131144800471994,-3.4758397814883044,-15.228914747043818,16.9970801718271,0.03736235375440497,14.612856849352838,16.830755599500876,-0.6320384878088352
AF073,nasal,14.503949368735777,29.921146985471424,18.86994773917896,-9.681858414409973,-10.299868948735478,-0.7611547070470716,3.390852115931916,6.723522771050282,-2.587421911836299,0.480311135560569
AF075,nasal,-18.38037822417179,5.796043309923879,0.9512514859309712,22.031044400633522,-15.544236327193628,5.203372979756801,6.695630564770683,2.5610067150742672,-2.1690481167451168,-5.596189332520086
AF077,nasal,-36.2630370023041,20.06770817625781,9.683492559712093,17.892605669265915,-14.735919641850924,-9.968564313392143,-19.78563182867062,9.663613760907035,-4.359258199525335,-7.184283158140622
AF078,nasal,16.79017733544755,1.3712494792939642,-3.066399406651132,-6.63099015772667,-9.082024277367495,-2.067269305479743,8.536926803456057,-9.377527783862481,-2.7058692935714217,-3.0468284391815765
AF080,nasal,33.45083855107031,-14.598914440115143,0.5219363960181912,-2.4475904458397157,-3.6554093341019946,4.422914209394855,-10.035166414622564,5.576485535722,0.8982559149054381,3.878186456583554
AF082,nasal,-30.79446912524169,-7.792250643669167,-12.540413463708633,-7.050776536426045,-0.6930349378275773,10.483483411966962,-12.81846986426981,0.2921782381527428,-1.2614976436971486,7.1530391682521435
AF084,nasal,-29.56576657400845,-9.367183800841579,4.64132976480014,6.687908776151325,11.08784278869151,6.3517965287992215,-1.7789148832324304,0.39614366473658386,4.973942226927296,-4.883943802934834
AF085,nasal,-24.521663757054785,-11.586491635205235,-17.600446226380527,0.9174149274322976,-0.14757769765394727,11.069259319927747,1.026383796533498,-1.2259203429549403,-3.2027587094148244,-0.5390933399662284
AF087,nasal,-25.49338825248661,6.58310916705312,-2.820464087350639,-5.775141840062931,-3.0464440584443575,4.927879774745294,-11.82242720144905,1.72469987756588,-3.508717729848679,0.9621483173383338
AF089,nasal,34.14713448367184,-18.862017460541832,-7.54950731139647,-8.302446570735139,-1.217400591660535,-12.842584842056036,-5.000449150339149,11.112015154249908,15.733137054567269,1.4099350021556851
AF091,nasal,34.690987201593124,-11.24993518812186,-0.773612651768411,2.2227787229634783,3.5343257757376523,8.785769468456232,-0.13459847991546062,-5.888440354549771,-10.713787622372617,2.1819298650408814
AF092,nasal,-16.56495642722422,-8.677395340736393,-10.723932203797034,3.472987548814525,-8.415849720391142,-13.18131811303088,6.664497491789754,-1.7716186486317662,2.6436462171789232,3.583148138911453
AF097,nasal,23.496554098115524,23.953068469773658,-21.480404243532263,-5.915710817253677,7.992382840476195,1.9356657609419976,-3.1315857427635363,-0.20929725418929945,5.409981386762211,-2.0431266489109667
AF098,nasal,-18.75848962858695,-19.918661498422463,-0.42840693082823544,0.4882144939774569,12.446924209667133,8.047046597150892,3.7522450872446718,2.0682954868019117,4.8207819616233785,-8.44653978616601
AF099,nasal,-24.4890974431248,9.139728260507136,-6.89308006283914,-2.1277862497942497,1.0179720483362777,4.046475124186885,-1.5309918058362975,-5.9820303700022475,1.6787150861097915,-14.719132091393051
AF101,nasal,-20.625181154711953,-18.67741432165324,-12.814297407464096,11.210633627855318,13.769447830655269,-4.637237938065546,-0.9017697745429992,-8.478535508784617,5.981093216763182,4.876348601322314
AF103,nasal,48.43139893455892,42.2313592104044,-35.53663453182506,18.10988510548206,22.548606869502695,3.2165916827425045,-1.2341617844631567,-0.7041433311035425,1.1047952641275878,-1.0152607429908602
AF104,nasal,-3.2703891329958457,-3.962895503494204,-5.680388538311588,-13.392077743363597,-2.957613685425276,6.160725164557525,-1.1320693681391483,-8.097723068315638,0.9190743615604824,-13.834073817117178
AF106,nasal,19.879712386977374,14.915906288247067,-16.554759099842283,-9.719187279795767,3.6400474921889066,-4.026701824564748,-3.503851470597149,-0.6316758900849296,0.14762965503389883,-1.0776328086645839
