probe_id	gene_symbol	gene_title	entrez_id	present_in_series	reliable_symbol	included_before_collapse	overall_mean_expression	tie_rule
218739_at	ABHD5	abhydrolase domain containing 5	51099	TRUE	TRUE	TRUE	4.181206073125	highest overall mean; lexical probe_id if exact mean tie
45288_at	ABHD6	abhydrolase domain containing 6	57406	TRUE	TRUE	TRUE	5.45568171475	highest overall mean; lexical probe_id if exact mean tie
219101_x_at	ABHD8	abhydrolase domain containing 8	79575	TRUE	TRUE	TRUE	2.420750058375	highest overall mean; lexical probe_id if exact mean tie
209028_s_at	ABI1	abl-interactor 1	10006	TRUE	TRUE	TRUE	5.38457646875	highest overall mean; lexical probe_id if exact mean tie
207268_x_at	ABI2	abl-interactor 2	10152	TRUE	TRUE	TRUE	3.100050087625	highest overall mean; lexical probe_id if exact mean tie
220518_at	ABI3BP	ABI family, member 3 (NESH) binding protein	25890	TRUE	TRUE	TRUE	2.51823347625	highest overall mean; lexical probe_id if exact mean tie
202123_s_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	TRUE	TRUE	TRUE	2.9375809269375	highest overall mean; lexical probe_id if exact mean tie
206411_s_at	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	TRUE	TRUE	TRUE	2.3475884884375	highest overall mean; lexical probe_id if exact mean tie
200965_s_at	ABLIM1	actin binding LIM protein 1	3983	TRUE	TRUE	TRUE	6.9317691489375	highest overall mean; lexical probe_id if exact mean tie
205730_s_at	ABLIM3	actin binding LIM protein family, member 3	22885	TRUE	TRUE	TRUE	2.6042356215625	highest overall mean; lexical probe_id if exact mean tie
216929_x_at	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	28	TRUE	TRUE	TRUE	3.1730650655625	highest overall mean; lexical probe_id if exact mean tie
212895_s_at	ABR	active BCR-related	29	TRUE	TRUE	TRUE	5.107590970875	highest overall mean; lexical probe_id if exact mean tie
218405_at	ABT1	activator of basal transcription 1	29777	TRUE	TRUE	TRUE	3.0680222600625	highest overall mean; lexical probe_id if exact mean tie
213497_at	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	25841	TRUE	TRUE	TRUE	2.44011344425	highest overall mean; lexical probe_id if exact mean tie
216564_at	AC003989.4			TRUE	TRUE	TRUE	2.729606339	highest overall mean; lexical probe_id if exact mean tie
217313_at	AC004692.5			TRUE	TRUE	TRUE	3.9458023465625	highest overall mean; lexical probe_id if exact mean tie
217027_x_at	AC004941.5			TRUE	TRUE	TRUE	4.1868934513125	highest overall mean; lexical probe_id if exact mean tie
216003_at	AC005838.2			TRUE	TRUE	TRUE	2.1025393654375	highest overall mean; lexical probe_id if exact mean tie
208301_at	AC007292.3			TRUE	TRUE	TRUE	2.496652295875	highest overall mean; lexical probe_id if exact mean tie
216849_at	AC007389.3			TRUE	TRUE	TRUE	3.07150667375	highest overall mean; lexical probe_id if exact mean tie
214238_at	AC012065.7			TRUE	TRUE	TRUE	2.548493275625	highest overall mean; lexical probe_id if exact mean tie
216110_x_at	AC068039.4			TRUE	TRUE	TRUE	3.7507968136875	highest overall mean; lexical probe_id if exact mean tie
217062_at	AC074212.6			TRUE	TRUE	TRUE	2.62742342	highest overall mean; lexical probe_id if exact mean tie
216991_at	AC084219.3			TRUE	TRUE	TRUE	2.3778054118125	highest overall mean; lexical probe_id if exact mean tie
214274_s_at	ACAA1	acetyl-CoA acyltransferase 1	30	TRUE	TRUE	TRUE	4.5727426379375	highest overall mean; lexical probe_id if exact mean tie
202002_at	ACAA2	acetyl-CoA acyltransferase 2	10449	TRUE	TRUE	TRUE	3.2685732405	highest overall mean; lexical probe_id if exact mean tie
212186_at	ACACA	acetyl-CoA carboxylase alpha	31	TRUE	TRUE	TRUE	4.192282502875	highest overall mean; lexical probe_id if exact mean tie
43427_at	ACACB	acetyl-CoA carboxylase beta	32	TRUE	TRUE	TRUE	3.0717954530625	highest overall mean; lexical probe_id if exact mean tie
219986_s_at	ACAD10	acyl-CoA dehydrogenase family, member 10	80724	TRUE	TRUE	TRUE	3.3379952885625	highest overall mean; lexical probe_id if exact mean tie
221669_s_at	ACAD8	acyl-CoA dehydrogenase family, member 8	27034	TRUE	TRUE	TRUE	3.2419872914375	highest overall mean; lexical probe_id if exact mean tie
206068_s_at	ACADL	acyl-CoA dehydrogenase, long chain	33	TRUE	TRUE	TRUE	2.7052873534375	highest overall mean; lexical probe_id if exact mean tie
202502_at	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	34	TRUE	TRUE	TRUE	5.048275488875	highest overall mean; lexical probe_id if exact mean tie
202366_at	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	35	TRUE	TRUE	TRUE	3.2474435126875	highest overall mean; lexical probe_id if exact mean tie
205355_at	ACADSB	acyl-CoA dehydrogenase, short/branched chain	36	TRUE	TRUE	TRUE	4.4092517825625	highest overall mean; lexical probe_id if exact mean tie
200710_at	ACADVL	acyl-CoA dehydrogenase, very long chain	37	TRUE	TRUE	TRUE	5.7615968388125	highest overall mean; lexical probe_id if exact mean tie
207692_s_at	ACAN	aggrecan	176	TRUE	TRUE	TRUE	2.8507942496875	highest overall mean; lexical probe_id if exact mean tie
205212_s_at	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	TRUE	TRUE	TRUE	3.8063638244375	highest overall mean; lexical probe_id if exact mean tie
212476_at	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	TRUE	TRUE	TRUE	5.0560807161875	highest overall mean; lexical probe_id if exact mean tie
205412_at	ACAT1	acetyl-CoA acetyltransferase 1	38	TRUE	TRUE	TRUE	6.12063396275	highest overall mean; lexical probe_id if exact mean tie
209608_s_at	ACAT2	acetyl-CoA acetyltransferase 2	39	TRUE	TRUE	TRUE	4.187134349125	highest overall mean; lexical probe_id if exact mean tie
202324_s_at	ACBD3	acyl-CoA binding domain containing 3	64746	TRUE	TRUE	TRUE	5.792197436375	highest overall mean; lexical probe_id if exact mean tie
219413_at	ACBD4	acyl-CoA binding domain containing 4	79777	TRUE	TRUE	TRUE	2.2269673446875	highest overall mean; lexical probe_id if exact mean tie
204617_s_at	ACD	adrenocortical dysplasia homolog (mouse)	65057	TRUE	TRUE	TRUE	3.6858337548125	highest overall mean; lexical probe_id if exact mean tie
209749_s_at	ACE	angiotensin I converting enzyme	1636	TRUE	TRUE	TRUE	2.65802367425	highest overall mean; lexical probe_id if exact mean tie
219962_at	ACE2	angiotensin I converting enzyme 2	59272	TRUE	TRUE	TRUE	3.4986508950625	highest overall mean; lexical probe_id if exact mean tie
205378_s_at	ACHE	acetylcholinesterase (Yt blood group)	43	TRUE	TRUE	TRUE	2.5551942420625	highest overall mean; lexical probe_id if exact mean tie
201715_s_at	ACIN1	apoptotic chromatin condensation inducer 1	22985	TRUE	TRUE	TRUE	4.3452201865625	highest overall mean; lexical probe_id if exact mean tie
208335_s_at	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	TRUE	TRUE	TRUE	2.3208170974375	highest overall mean; lexical probe_id if exact mean tie
206887_at	ACKR2	atypical chemokine receptor 2	1238	TRUE	TRUE	TRUE	2.1727885454375	highest overall mean; lexical probe_id if exact mean tie
