source_name	identifier	gene_symbol
collagen_fibril_organization	GO:0030199	ADAMTS7
collagen_fibril_organization	GO:0030199	AEBP1
collagen_fibril_organization	GO:0030199	ANXA2
collagen_fibril_organization	GO:0030199	ATP7A
collagen_fibril_organization	GO:0030199	BMP1
collagen_fibril_organization	GO:0030199	COL11A1
collagen_fibril_organization	GO:0030199	COL11A2
collagen_fibril_organization	GO:0030199	COL13A1
collagen_fibril_organization	GO:0030199	COL14A1
collagen_fibril_organization	GO:0030199	COL1A1
collagen_fibril_organization	GO:0030199	COL1A2
collagen_fibril_organization	GO:0030199	COL2A1
collagen_fibril_organization	GO:0030199	COL3A1
collagen_fibril_organization	GO:0030199	COL5A1
collagen_fibril_organization	GO:0030199	COL5A2
collagen_fibril_organization	GO:0030199	COL5A3
collagen_fibril_organization	GO:0030199	COLGALT1
collagen_fibril_organization	GO:0030199	COLGALT2
collagen_fibril_organization	GO:0030199	COMP
collagen_fibril_organization	GO:0030199	CRTAP
collagen_fibril_organization	GO:0030199	CYP1B1
collagen_fibril_organization	GO:0030199	DDR2
collagen_fibril_organization	GO:0030199	DPT
collagen_fibril_organization	GO:0030199	EFEMP2
collagen_fibril_organization	GO:0030199	EMILIN1
collagen_fibril_organization	GO:0030199	EXT1
collagen_fibril_organization	GO:0030199	FKBP10
collagen_fibril_organization	GO:0030199	FMOD
collagen_fibril_organization	GO:0030199	FOXC1
collagen_fibril_organization	GO:0030199	FOXC2
collagen_fibril_organization	GO:0030199	GREM1
collagen_fibril_organization	GO:0030199	LOX
collagen_fibril_organization	GO:0030199	LOXL1
collagen_fibril_organization	GO:0030199	LOXL2
collagen_fibril_organization	GO:0030199	LUM
collagen_fibril_organization	GO:0030199	MMP11
collagen_fibril_organization	GO:0030199	NF1
collagen_fibril_organization	GO:0030199	P4HA1
collagen_fibril_organization	GO:0030199	PLOD3
collagen_fibril_organization	GO:0030199	PXDN
collagen_fibril_organization	GO:0030199	RB1
collagen_fibril_organization	GO:0030199	SERPINF2
collagen_fibril_organization	GO:0030199	SERPINH1
collagen_fibril_organization	GO:0030199	TGFB2
collagen_fibril_organization	GO:0030199	TGFBR1
collagen_fibril_organization	GO:0030199	TLL1
collagen_fibril_organization	GO:0030199	TLL2
collagen_fibril_organization	GO:0030199	TNXB
collagen_fibril_organization	GO:0030199	VIPAS39
collagen_fibril_organization	GO:0030199	VPS33B
wound_healing	GO:0042060	ABAT
wound_healing	GO:0042060	ABCC8
wound_healing	GO:0042060	ACTA2
wound_healing	GO:0042060	ACTB
wound_healing	GO:0042060	ACVRL1
wound_healing	GO:0042060	ADAM17
wound_healing	GO:0042060	ADAMTS13
wound_healing	GO:0042060	ADIPOR2
wound_healing	GO:0042060	ADRA2A
wound_healing	GO:0042060	ADRA2B
wound_healing	GO:0042060	ADRA2C
wound_healing	GO:0042060	ADTRP
wound_healing	GO:0042060	AHNAK
wound_healing	GO:0042060	AJAP1
wound_healing	GO:0042060	ALOX12
wound_healing	GO:0042060	ALOX15
wound_healing	GO:0042060	ALOX5
wound_healing	GO:0042060	ANXA1
wound_healing	GO:0042060	ANXA2
wound_healing	GO:0042060	ANXA5
wound_healing	GO:0042060	ANXA6
wound_healing	GO:0042060	AP3B1
wound_healing	GO:0042060	APCS
wound_healing	GO:0042060	APOE
wound_healing	GO:0042060	APOH
wound_healing	GO:0042060	AQP1
wound_healing	GO:0042060	ARFGEF1
wound_healing	GO:0042060	ARHGAP24
wound_healing	GO:0042060	ARHGAP35
wound_healing	GO:0042060	ARL8B
wound_healing	GO:0042060	AXL
wound_healing	GO:0042060	B4GALT1
wound_healing	GO:0042060	BLK
wound_healing	GO:0042060	C1GALT1C1
wound_healing	GO:0042060	C1QTNF1
wound_healing	GO:0042060	C4BPB
wound_healing	GO:0042060	CADM4
wound_healing	GO:0042060	CASK
wound_healing	GO:0042060	CASP3
wound_healing	GO:0042060	CAV1
wound_healing	GO:0042060	CAV3
wound_healing	GO:0042060	CD151
wound_healing	GO:0042060	CD34
wound_healing	GO:0042060	CD36
wound_healing	GO:0042060	CD40
wound_healing	GO:0042060	CD40LG
wound_healing	GO:0042060	CD44
wound_healing	GO:0042060	CD59
wound_healing	GO:0042060	CD9
wound_healing	GO:0042060	CDH3
wound_healing	GO:0042060	CDKN1A
wound_healing	GO:0042060	CEACAM1
wound_healing	GO:0042060	CFLAR
wound_healing	GO:0042060	CHMP1A
wound_healing	GO:0042060	CHMP1B
wound_healing	GO:0042060	CHMP2A
wound_healing	GO:0042060	CHMP2B
wound_healing	GO:0042060	CHMP5
wound_healing	GO:0042060	CHMP6
wound_healing	GO:0042060	CHMP7
wound_healing	GO:0042060	CLASP1
wound_healing	GO:0042060	CLASP2
wound_healing	GO:0042060	CLDN1
wound_healing	GO:0042060	CLDN3
wound_healing	GO:0042060	CLDN4
wound_healing	GO:0042060	CLEC7A
wound_healing	GO:0042060	CLIC1
wound_healing	GO:0042060	CNN2
wound_healing	GO:0042060	COL1A1
wound_healing	GO:0042060	COL3A1
wound_healing	GO:0042060	COL5A1
wound_healing	GO:0042060	COMP
wound_healing	GO:0042060	CORO1B
wound_healing	GO:0042060	CPB2
wound_healing	GO:0042060	CRK
wound_healing	GO:0042060	CSRP1
wound_healing	GO:0042060	CTSG
wound_healing	GO:0042060	CX3CL1
wound_healing	GO:0042060	CXCR4
wound_healing	GO:0042060	CYP4F11
wound_healing	GO:0042060	CYP4F2
wound_healing	GO:0042060	DAG1
wound_healing	GO:0042060	DCBLD2
wound_healing	GO:0042060	DDR2
wound_healing	GO:0042060	DGKA
wound_healing	GO:0042060	DGKB
wound_healing	GO:0042060	DGKD
wound_healing	GO:0042060	DGKE
wound_healing	GO:0042060	DGKG
wound_healing	GO:0042060	DGKH
