gene_symbol,log2FC_AA_minus_HN,AveExpr,t,P.Value,adj.P.Val,B,DEG_status,FDR_only,primary_DEG,direction
CCNB2,-0.00935329512698407,3.1665940780625,-0.0297826788669673,0.976627837456172,0.985820553223056,-6.13175042601861,not_DEG,FALSE,FALSE,down
CCNC,-0.00270216666666609,6.72361398025,-0.0128351161965242,0.989926261873222,0.993841259705655,-6.13211750810899,not_DEG,FALSE,FALSE,down
CCND1,-0.101721528253968,5.1350265055,-0.332518836600179,0.744038266349766,0.82717066523928,-6.07621700009135,not_DEG,FALSE,FALSE,down
CCND2,-0.172968459777778,3.339889968375,-0.836577931505726,0.415786393925071,0.558671223450189,-5.78480464736214,not_DEG,FALSE,FALSE,down
CCND3,-0.930829517238095,4.870735284125,-3.41481798791517,0.00377591391775694,0.033394052768163,-1.80235963514084,down,TRUE,TRUE,down
CCNE1,0.0282073549523808,2.457176371875,0.387916229156603,0.703455558741692,0.798756280138644,-6.05611311085087,not_DEG,FALSE,FALSE,up
CCNE2,0.305380913809524,3.018998802875,3.38215317684543,0.0040392718141925,0.034152814009556,-1.86431008337216,not_DEG,TRUE,FALSE,up
CCNF,0.0915174695873015,3.0532129675,0.695944237937228,0.496965961158791,0.632846028078691,-5.89005159939364,not_DEG,FALSE,FALSE,up
CCNG1,0.0337651439841276,5.5971910630625,0.156632115730809,0.877595897723075,0.920910775733886,-6.11974244543038,not_DEG,FALSE,FALSE,up
CCNG2,-0.0251187393809525,5.0323362728125,-0.105102950033838,0.917668288252353,0.946717975061854,-6.12658887810536,not_DEG,FALSE,FALSE,down
CCNH,-0.114744581968254,4.1891314745,-0.821889894684248,0.423842443440012,0.566402293944172,-5.79662501647674,not_DEG,FALSE,FALSE,down
CCNI,-0.195327631571428,8.6927128258125,-1.06960057426005,0.301487952742063,0.448514268799462,-5.57253586035476,not_DEG,FALSE,FALSE,down
CCNJ,0.259411341857143,2.9967469389375,3.35882037445811,0.00423852618631965,0.0347133081329978,-1.90853518239642,not_DEG,TRUE,FALSE,up
CCNJL,0.0553606417777773,2.419459451,1.14521305133656,0.269829822037158,0.415507459143376,-5.4940723158593,not_DEG,FALSE,FALSE,up
CCNK,0.065356699746032,2.31932689675,2.54591765964511,0.0222071793950469,0.0826315183480585,-3.41336673043722,not_DEG,FALSE,FALSE,up
CCNL1,-0.315244386999999,6.2217597283125,-0.698556189476727,0.495377347254555,0.631656460975904,-5.88826036478542,not_DEG,FALSE,FALSE,down
CCNL2,-0.0222018895396828,2.3393412735625,-0.694949872887213,0.497571528380836,0.633488581085169,-5.89073186967215,not_DEG,FALSE,FALSE,down
CCNO,-0.486236711523809,5.670632532625,-1.23162453916744,0.236801092217009,0.379990191079014,-5.39897570182391,not_DEG,FALSE,FALSE,down
CCNT1,0.0489285003015876,2.2797118175625,1.81768807636263,0.0888712403740169,0.196142032185187,-4.61998126210241,not_DEG,FALSE,FALSE,up
CCNT2,0.389031636285714,3.690416071125,2.7429199523102,0.0149584574418333,0.0658539528149762,-3.05829823257413,not_DEG,FALSE,FALSE,up
CCP110,0.168722239857143,4.7054686830625,1.55439634392799,0.140657584606379,0.266374977754825,-4.99658588641556,not_DEG,FALSE,FALSE,up
CCPG1,0.0135617817142858,3.8876896105,0.127221559841985,0.900432519768435,0.935595896463875,-6.12397956148017,not_DEG,FALSE,FALSE,up
CCR1,-1.11677217822222,4.08979855275,-1.30682377545758,0.21069564209332,0.350844933601195,-5.31168526112554,not_DEG,FALSE,FALSE,down
CCR10,0.0445050752539685,2.7748776006875,1.26970391858196,0.223281849499159,0.365110923504679,-5.35528977944343,not_DEG,FALSE,FALSE,up
CCR2,-0.116567480253968,2.4560994665,-0.463785131508762,0.649372666545254,0.758699957830646,-6.02367909587462,not_DEG,FALSE,FALSE,down
CCR3,0.0606681382698413,2.2905794570625,2.38016870297468,0.0308052515837995,0.099977623285549,-3.7045541891389,not_DEG,FALSE,FALSE,up
CCR4,0.0325716380476189,2.3977814386875,1.49238247512058,0.156058472726705,0.286186203022782,-5.07931125504047,not_DEG,FALSE,FALSE,up
CCR5,-0.552135265809524,3.406024771125,-0.814184186774047,0.428108805764142,0.570402589563841,-5.80275000790117,not_DEG,FALSE,FALSE,down
CCR6,0.478463299888889,3.2047350301875,4.28188487010831,0.000636829160510246,0.0251913490861422,-0.16204555672928,not_DEG,TRUE,FALSE,up
CCR7,-0.22442797884127,2.7572898411875,-0.95706488234287,0.353507562259351,0.498814595554215,-5.68076210760145,not_DEG,FALSE,FALSE,down
CCR8,0.127974655349206,2.5211706030625,3.55400823897427,0.00283287604885636,0.0306191218238884,-1.53803643510577,not_DEG,TRUE,FALSE,up
