method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
log2CPM_recomputed__log2CPM__cohort_z__manhattan	log2CPM_recomputed	cohort_z	log2CPM	manhattan	18	27	10	13	29	7	FALSE	28
VST_locked__log2CPM__tissue_specific_z__euclidean	VST_locked	tissue_specific_z	log2CPM	euclidean	17	29	9	17	27	5	FALSE	30
historical_rawcount_existing_repair__locked_final_VST__tissue_specific_z__manhattan	historical_rawcount_existing_repair	tissue_specific_z	locked_final_VST	manhattan	21	28	6	20	25	4	FALSE	30
historical_rawcount_fixed32__log2CPM__tissue_specific_z__euclidean	historical_rawcount_fixed32	tissue_specific_z	log2CPM	euclidean	17	29	9	17	27	5	FALSE	30
log2CPM_T2_fixed_IFN__historical_rawcount__tissue_specific_z__manhattan	log2CPM_T2_fixed_IFN	tissue_specific_z	historical_rawcount	manhattan	17	30	8	17	28	4	FALSE	30
log2CPM_T2_fixed_IFN__log2CPM__tissue_specific_z__euclidean	log2CPM_T2_fixed_IFN	tissue_specific_z	log2CPM	euclidean	17	29	9	14	28	7	FALSE	30
log2CPM_recomputed__historical_rawcount__tissue_specific_z__manhattan	log2CPM_recomputed	tissue_specific_z	historical_rawcount	manhattan	17	31	7	17	28	4	FALSE	30
log2CPM_recomputed__locked_final_VST__tissue_specific_z__manhattan	log2CPM_recomputed	tissue_specific_z	locked_final_VST	manhattan	21	29	5	19	26	4	FALSE	30
log2CPM_recomputed__log2CPM__cohort_z__euclidean	log2CPM_recomputed	cohort_z	log2CPM	euclidean	18	27	10	12	29	8	FALSE	30
log2CPM_recomputed__log2CPM__tissue_specific_z__euclidean	log2CPM_recomputed	tissue_specific_z	log2CPM	euclidean	17	29	9	14	28	7	FALSE	30
VST_locked__log2CPM__tissue_specific_z__manhattan	VST_locked	tissue_specific_z	log2CPM	manhattan	16	29	10	16	27	6	FALSE	32
historical_rawcount_existing_repair__log2CPM__tissue_specific_z__euclidean	historical_rawcount_existing_repair	tissue_specific_z	log2CPM	euclidean	17	28	10	18	26	5	FALSE	32
historical_rawcount_existing_repair__log2CPM__tissue_specific_z__manhattan	historical_rawcount_existing_repair	tissue_specific_z	log2CPM	manhattan	16	31	8	16	27	6	FALSE	32
historical_rawcount_fixed32__log2CPM__tissue_specific_z__manhattan	historical_rawcount_fixed32	tissue_specific_z	log2CPM	manhattan	16	29	10	16	27	6	FALSE	32
log2CPM_recomputed__log2CPM__tissue_specific_z__manhattan	log2CPM_recomputed	tissue_specific_z	log2CPM	manhattan	16	28	11	14	28	7	FALSE	32
VST_locked__locked_final_VST__tissue_specific_z__manhattan	VST_locked	tissue_specific_z	locked_final_VST	manhattan	21	28	6	22	23	4	FALSE	34
historical_rawcount_existing_repair__log2CPM__cohort_z__correlation	historical_rawcount_existing_repair	cohort_z	log2CPM	correlation	24	20	11	20	18	11	FALSE	34
historical_rawcount_fixed32__locked_final_VST__tissue_specific_z__manhattan	historical_rawcount_fixed32	tissue_specific_z	locked_final_VST	manhattan	21	28	6	22	23	4	FALSE	34
VST_locked__log2CPM__GSE152004_reference_scaling__correlation	VST_locked	GSE152004_reference_scaling	log2CPM	correlation	19	33	3	17	25	7	FALSE	38
VST_locked__log2CPM__GSE152004_reference_scaling__euclidean	VST_locked	GSE152004_reference_scaling	log2CPM	euclidean	17	24	14	13	25	11	FALSE	38
VST_locked__log2CPM__GSE152004_reference_scaling__manhattan	VST_locked	GSE152004_reference_scaling	log2CPM	manhattan	20	19	16	15	20	14	FALSE	38
historical_rawcount_fixed32__log2CPM__GSE152004_reference_scaling__correlation	historical_rawcount_fixed32	GSE152004_reference_scaling	log2CPM	correlation	19	33	3	17	25	7	FALSE	38
historical_rawcount_fixed32__log2CPM__GSE152004_reference_scaling__euclidean	historical_rawcount_fixed32	GSE152004_reference_scaling	log2CPM	euclidean	17	24	14	13	25	11	FALSE	38
historical_rawcount_fixed32__log2CPM__GSE152004_reference_scaling__manhattan	historical_rawcount_fixed32	GSE152004_reference_scaling	log2CPM	manhattan	20	19	16	15	20	14	FALSE	38
VST_locked__log2CPM__tissue_specific_z__correlation	VST_locked	tissue_specific_z	log2CPM	correlation	22	19	14	21	17	11	FALSE	40
historical_rawcount_existing_repair__log2CPM__GSE152004_reference_scaling__correlation	historical_rawcount_existing_repair	GSE152004_reference_scaling	log2CPM	correlation	19	22	14	15	20	14	FALSE	40
historical_rawcount_existing_repair__log2CPM__tissue_specific_z__correlation	historical_rawcount_existing_repair	tissue_specific_z	log2CPM	correlation	22	19	14	21	17	11	FALSE	40
historical_rawcount_fixed32__log2CPM__tissue_specific_z__correlation	historical_rawcount_fixed32	tissue_specific_z	log2CPM	correlation	22	19	14	21	17	11	FALSE	40
VST_locked__log2CPM__cohort_z__correlation	VST_locked	cohort_z	log2CPM	correlation	24	19	12	20	14	15	FALSE	42
historical_rawcount_fixed32__log2CPM__cohort_z__correlation	historical_rawcount_fixed32	cohort_z	log2CPM	correlation	24	19	12	20	14	15	FALSE	42
log2CPM_T2_fixed_IFN__log2CPM__cohort_z__correlation	log2CPM_T2_fixed_IFN	cohort_z	log2CPM	correlation	23	20	12	17	14	18	FALSE	44
log2CPM_T2_fixed_IFN__historical_rawcount__cohort_z__correlation	log2CPM_T2_fixed_IFN	cohort_z	historical_rawcount	correlation	26	12	17	19	16	14	FALSE	46
