sample_id,CST1_z,CLCA1_z,SERPINB2_z,T2_score,T2_median,molecular_T2_status
HR1252,1.1732392757739,1.91508301785913,1.79700215511801,1.62844148291701,0.00414386701393426,high
HR1259,1.25545834116895,1.40665771377774,1.92167804417046,1.52793136637238,0.00414386701393426,high
HR1260,0.731695342120879,1.16327358591696,0.696876693101868,0.863948540379902,0.00414386701393426,high
HR1262,1.38150763791576,1.92394305704472,2.29548385534275,1.86697818343441,0.00414386701393426,high
HR1269,0.66863906040338,0.0818270916195437,0.49977797467131,0.416748042231411,0.00414386701393426,high
HR1272,-0.705296001493019,-1.03471939667274,-0.194972276356272,-0.644995891507343,0.00414386701393426,low
HR1273,1.07569499847105,2.0366891948155,0.952985839917112,1.35512334440122,0.00414386701393426,high
HR1277,-0.964524862134378,-0.867950530320645,-0.975812054550565,-0.936095815668529,0.00414386701393426,low
HR1283,-0.0439319479916778,-0.717692963559713,-0.401414937390957,-0.387679949647449,0.00414386701393426,low
HR1286,-1.29441595525221,-0.898774075362421,-1.34284064610218,-1.17867689223894,0.00414386701393426,low
HR1287,-1.31147065794134,-0.925315682704037,-1.07322358412938,-1.10333664159158,0.00414386701393426,low
HR1288,0.833318725741751,-0.104692536508855,-0.128268330456196,0.2001192862589,0.00414386701393426,high
HR1289,0.609738680543045,0.363881340077657,-0.310259903857858,0.221120038920948,0.00414386701393426,high
HR1292,0.757992182933627,1.03778125139342,1.17416951664853,0.989980983658527,0.00414386701393426,high
HR1295,0.530265683188049,-0.204168851970952,0.642343616365629,0.322813482527575,0.00414386701393426,high
HR1298,-1.41275032891096,-1.03471939667274,-1.51092750702625,-1.31946574420332,0.00414386701393426,low
HR1300,0.785126390315655,1.09202062399376,0.668112427668054,0.848419813992491,0.00414386701393426,high
HR1302,0.415872532202326,1.0211147684113,0.428382326036716,0.621789875550113,0.00414386701393426,high
HR1308,0.632243533684879,0.857476536496285,1.16638698393792,0.885369018039695,0.00414386701393426,high
HR1309,0.52361330234131,-0.813585896546804,0.537791968872095,0.0826064582222005,0.00414386701393426,high
HR1310,-1.51627765198344,-1.03471939667274,-1.23920423420257,-1.26340042761959,0.00414386701393426,low
HR1315,-1.31699115478567,-0.880306071454223,-0.768787424731302,-0.988694883657066,0.00414386701393426,low
HR1316,1.10865502571357,1.23056281469196,1.21887820883827,1.1860320164146,0.00414386701393426,high
HR1319,0.457844815175556,0.567452114702354,0.122685331602983,0.382660753826964,0.00414386701393426,high
HR1320,1.27032148156732,1.89585450936722,1.57278645474567,1.57965414856007,0.00414386701393426,high
HR1363,-1.02828050232602,-0.912454036105147,-0.45913754408992,-0.799957360840363,0.00414386701393426,low
HR1365,0.809006327867296,1.00499173367026,-0.33100013077213,0.494332643588477,0.00414386701393426,high
