sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HR1283,-4.15312191352391,10.8881119032163,-21.5993404632031,5.15324041939565,2.83068211949845,-0.691013359448604,-2.11370092570738,-1.91913061642956,-6.31613137179311,-4.47739095840076
HR1286,-19.2818400022748,13.0483091456522,4.14121062177102,-12.9492876658356,-9.58430518626678,-8.64553627848996,-1.4943552520249,-1.61461161772988,0.498679405252336,-1.54163478846664
HR1287,-22.7414246991428,16.0825332834245,14.0834856831606,-6.05893861377915,-3.61525930903619,-4.19014684290775,4.23213060317396,3.891128507726,-4.85456072237256,0.0483177341135638
HR1288,0.414900830156066,1.1924507447307,-14.9589449189039,0.974014101153221,7.82179184162604,1.17780686188283,9.07016440049672,2.36286064035548,0.673397851977757,-6.94114711688005
HR1289,-3.73777230720477,2.36588144374017,-0.0182846042204523,2.57742960871671,3.23504239747831,-1.17184084751999,-0.982415442161366,2.27217168439989,1.72508912588935,-3.62707896105452
HR1292,23.2194726424822,-17.7789284959461,12.3891061934161,1.41815521000443,5.3329285500243,-2.3660576972669,7.76625494005525,3.99793560967185,1.72778324045308,-6.14119542309308
HR1295,5.04974731329551,-13.2027209704615,9.63349782775366,2.18944970560764,-7.15588036754133,-1.55562288354514,6.07793835334701,15.2093811655768,-2.36995665454361,-6.26666127366445
HR1298,-15.7986219309816,24.2640823589259,7.59434293255902,-0.565203821032086,10.0523695568275,2.32901798944775,1.58909287874588,4.7049856514628,2.91410903679759,-0.822342284944092
HR1300,-6.12242429862256,-13.5224795687259,-10.232303647721,3.01397505572713,-4.17240179670347,8.07511028432355,-3.43202021809332,0.417346968644751,-3.44829358626568,-4.93671163083995
HR1302,-11.8545653929253,-10.3233625630795,19.2700945376737,-8.84479730516084,-20.388780025927,-6.86774651991219,1.53130782985512,3.09215618679866,2.10553128223548,-0.450706373136946
HR1308,4.89492324242166,-14.4653938033667,-6.00614610211624,18.2870676253414,1.23708438200431,2.36634608470974,-0.518906844244542,-5.19219443662499,2.22550487116713,-1.74484259214684
HR1309,33.7382011492738,2.4096943717497,3.74905302570168,6.95444619199291,11.1840457674378,-7.17174094314972,5.42998335447183,-0.378775075205338,0.980592549004232,-0.52256808030035
HR1310,12.8324137689728,21.923005939713,-3.10252742774834,0.569235098360945,10.2240781715525,-7.52522180994183,0.476033970210959,-0.461756689235407,1.58258079791874,0.395801409550825
HR1315,15.6961937353167,21.2665958576893,18.3045863221051,0.187730342513049,4.6624593188126,-8.59599441241625,2.98604482623119,-5.7994191442042,7.24599860311037,-0.708152606199903
HR1316,-11.6141947587944,-20.7329290185082,7.56414992876225,7.65295657849422,-4.52441712309787,-4.11882346379232,6.42467861711529,-1.10546215341038,-7.43344033841618,5.5633379836999
HR1319,5.2521148772726,-0.251133483799998,16.0242991965614,8.71520946088488,8.76816531195404,-5.67389947077606,6.13799861654037,8.45644543226426,-9.42194938104662,-3.90966187997272
HR1320,3.58448329838668,-34.0458691496241,12.8523480470594,-5.17537326658442,7.21994916573784,-6.4196093586615,7.82179700260237,7.78369494756628,-3.62339947972096,-2.66775458914342
HR1363,-12.7821246164715,14.7419298523653,-11.3219730381197,5.16929712405671,3.08292186145318,5.43781653634255,6.28066220323421,0.846099974998957,-2.8500919563587,0.312850610815732
HR1365,-21.5358020948566,2.15061564234723,3.16455998029205,-3.563471604801,-4.10832476742289,1.65100040859491,-0.418536491589485,7.27532962396318,-6.35380710948896,-1.58139231629859
HR1369,-5.45536176176793,-3.81340729028569,24.1905154677538,-1.28823895061497,-13.3680907825678,-6.6861852783095,5.4366074366104,3.45539277558453,0.42525685955026,-3.41842041793647
HR1373,-17.8998060647501,-11.2028629889234,-7.90799714889831,-1.45115981725978,-6.20816380617591,3.47202051070125,0.801039801610599,-5.53704355419622,-0.547812587742682,-4.41058636386277
HR1377,-1.96929743620361,0.103912536469279,8.97437652432336,11.7206059227428,-1.61067328380456,4.0438966027175,4.99414453511514,5.71872013020988,0.388901152688498,-0.865905424358486
HR1379,10.9613277929255,-9.66270001726752,-1.70559462063115,5.80694753186219,0.790404366197917,6.32487045910052,-2.46379424850507,2.77900907381724,6.59429651335592,-7.51132978428148
HR1381,-15.7317408884704,-23.3506066206976,-8.91351307044535,-2.73092454719193,5.37614952240651,7.75260864730074,-4.12342653980176,-2.64601399300899,2.81552554830777,-0.168639187892733
HR1382,-8.01157824156089,-14.55756894131,13.8384994929204,-2.03192369731577,2.04104296550081,-1.63507359720617,4.46737887693162,-0.0114098151555941,6.34625937202864,2.58562675859914
HR1383,-11.3418943130275,2.64038809973477,-5.65812511236844,9.57892408537037,5.03638748331145,2.66094486194378,15.9374676288967,-1.50927443582644,0.640691802824379,0.510530875353332
HR1384,5.31344205335097,17.6565400877614,6.20319174668148,11.8213054031173,-3.12206576589732,-3.63049339139533,-0.534534062859136,5.68558938529656,-1.14375747587604,-1.75244484069112
HR1386,-38.9096447298567,16.1531873770876,0.581246258168993,-0.815463708464514,-2.54260716049445,5.93902958017341,3.68544410339443,10.2916714671786,-0.880971325893387,8.75524916976322
HR1387,-13.864140539489,7.87472598907885,-9.81983455698414,-0.0763859240846934,-3.87841870380955,1.97484671002976,-9.26329166598695,-0.550321868395674,3.30498808967626,1.90597522211064
HR1389,-17.7412312039017,5.37066319169296,1.16174624527401,-5.0246903768843,-2.54392441241545,0.746222528371181,-4.83291952514669,3.38190086007741,3.17447392566334,5.22117038124696
HR1390,-4.07190192563683,13.9629930458531,-3.40404011297312,12.5180399971952,-1.26332730872716,6.81820141845796,-15.4325847555674,-0.21363691880776,-1.01431697108958,-0.706196174324732
HR1391,-6.03878232715629,-17.8047495069884,3.38917284429359,2.87593523723447,14.8569738184122,7.76042560801961,-7.99792722568563,6.29747981253784,0.790702573817193,-4.39357579885781
HR1392,14.3167585097469,17.4230056691011,1.36806460383101,9.75427334827663,6.49028246942754,-6.39827435000914,-2.76399423280828,5.41165526537959,-2.63087988363138,0.689071656287367
HR1393,-8.03072398820661,-8.68240013661358,6.43776863505007,13.864925193555,-10.9528901909499,4.25298021019638,-4.74337877703407,8.35028186551104,-5.73513814213873,-3.22724877759541
HR1394,-13.4417361836461,-14.4037681944598,-12.5164738007004,14.4948869471953,-4.44786352285375,6.19536019317274,-0.986451595605539,-6.88605202279314,4.63453010843383,-3.33948978242072
HR1395,-27.3210142933809,2.83045834653254,-1.59773631220382,-7.56647711135661,-1.10459215778661,5.99350662331273,-8.70177724706942,4.99714843567335,2.96201791669642,-4.42149496835732
HR1396,-22.526459586891,6.88747394985877,10.1357558379789,-7.00726887754519,3.84697621398346,-5.53826036639058,6.17669361988056,-6.12517004373559,0.318926252878742,1.28571719614664
HR1398,-32.7363784013674,-24.7355075200722,8.73643368417252,-11.1838075739318,-1.68025501674263,1.99360041391154,-0.862281574018956,-1.65085111945904,2.48491569433454,0.0393290017315351
HR1400,-17.2444263210498,-19.0673155290566,0.394109674345119,-10.1045692364622,5.08372782948917,4.69608012671932,-1.16508915675058,2.7378904155759,5.85664746580125,-1.3631725575336
HR1401,-38.7020351889766,-0.41742509392183,3.29261284040614,-17.843521278503,0.843022173009766,1.11090200924051,-1.65767577939521,6.70921182131682,-7.91190858036044,-3.41125537135233
HR1402,-29.7090035138542,3.53064091417991,10.50810145357,-10.4300269140178,2.37046730631191,6.23786803015349,-7.65963459053935,10.5941101137672,-7.26030330023262,5.14562308010596
HR1403,-21.9633236743075,14.6358720428048,-10.4928472179205,0.903365832309915,-12.1935789868046,4.99470557275812,0.92406204625759,0.691765859162947,0.637497238564411,0.155332142632465
HR1405,-12.272982302648,12.6093243565123,-5.61773526868559,-6.8021268397504,-1.8511661068209,-0.342887646593329,-3.97656464204042,1.11928785038297,4.0433936493704,2.30359304409716
HR1406,-34.7783294115511,9.82749644137279,7.682876376991,0.866289523789391,4.67894539761295,3.68908454970143,6.07684061519076,0.764794546650674,2.49052698886305,2.00780535155524
HR1407,8.63431834612658,21.6303901163054,-4.90529507732485,4.88041578987112,11.1016117828503,7.33946465319926,1.96429334719037,3.78693877434692,5.12684957732779,3.10410919992301
HR1408,-10.9180250016193,10.973323921007,14.1020064635895,-2.70633899424555,13.3656168259836,-7.75872803871819,5.20126815410437,-8.42330570514434,0.981051085455606,-5.99094445456129
