gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC,loading
SERPINB9,0.0366476929485404,0.00288078112677763,0.0289510968668286,-0.0026468438040207,0.00609495874023609,0.0158998808822259,-0.00430455653972218,-0.00584198622943636,0.00189633106130144,0.00418637716726243,PC1,0.0366476929485404
VWF,-0.00393572143625305,-0.0535551889766774,0.00370741456867477,0.00205834122779241,0.00116436042089605,0.00906777086561141,-0.00454443307126193,0.00609472517469609,0.0134651165759137,-0.030386145691527,PC2,-0.0535551889766774
GSN,-0.000699787489727244,-0.0534196099695358,0.00412670048068293,-0.00320196468821432,0.0164453536120802,0.0136762705461522,-0.0196196155619746,-0.00098033989547768,0.00457031677603849,-0.014141991652711,PC2,-0.0534196099695358
FETUB,-0.00206756731204878,-0.0533681621308586,0.0124985717668479,0.00348165725843871,0.022950876718483,0.0114054092421679,-0.00139595363563305,-0.000224851649699558,0.000443569724468812,-0.022583998389384,PC2,-0.0533681621308586
CDH26,-0.00210114624254059,-0.0531156594404969,0.0106734483195704,0.00681092732052821,0.0300485027292399,0.00505287561307022,-0.0033247653619107,-0.00443832726022617,0.00112625659210096,-0.0231188310192867,PC2,-0.0531156594404969
CST4,-0.00340482776746363,-0.0516589335240746,0.00996962713192987,-0.000378483004794544,0.021522386786184,0.0163554215897703,-0.00423308546681679,-0.0122832479933387,-0.00454022218957173,-0.0251255294596607,PC2,-0.0516589335240746
CST2,-0.00372597678902609,-0.0513907238334702,0.00951249627617089,-0.00166541578663424,0.0204093314603613,0.0187267036632789,-0.00170320549776278,-0.0117553277648913,-0.00674715610045883,-0.0246916171483315,PC2,-0.0513907238334702
PHLDB2,0.00512983562025383,-0.0511596875954175,0.00231654340059058,-0.010647382421586,0.0037735137029494,0.00853014672102797,0.00620682265382666,-0.0123850757517774,-0.00507329092198211,-0.020534566034967,PC2,-0.0511596875954175
SLC9B2,0.0022379528952232,-0.0511502942641461,0.0139820189797904,-0.000250081992984281,0.0280908887037632,0.00536331642918218,-0.00568263737630692,0.00147659073327556,0.0112880501950923,-0.0237751938627508,PC2,-0.0511502942641461
CLCA1,-0.00477730659920668,-0.0510944748223207,0.0130571135836075,-0.00279755370297407,0.0223517609371727,0.0179355874141529,-0.000557913279988077,0.00138649971797637,0.00374548480323023,-0.0122906373074769,PC2,-0.0510944748223207
